,Region,latitude,longtitude
142,Vila Velha de Ródão,39.6545418,-7.6723114
143,Sertã,39.8052145,-8.096441
144,Vila de Rei,39.6759822,-8.1442213
145,Almeida,40.7260772,-6.9065743
146,Belmonte,39.5592831,-2.7038117
147,Celorico da Beira,40.6358841,-7.3928446
148,Covilhã,40.2804021,-7.504191
149,Figueira de Castelo Rodrigo,40.89751,-6.96279
150,Fornos de Algodres,40.6579679,-7.4880887
151,Fundão,40.1408065,-7.5017521
152,Gouveia,-18.4545728,-43.7415904
153,Guarda,40.7046066,-7.1951392
154,Manteigas,40.4005617,-7.5408682
155,Mêda,40.930394,-7.2517584
156,Pinhel,40.7794281,-7.1031986
157,Sabugal,40.4034949,-7.0501432
158,Seia,40.4200998,-7.7028054
159,Trancoso,40.77847,-7.34908
160,Alcobaça,-17.5215875,-39.1965474
161,Alenquer,39.056633,-9.0076057
162,Arruda dos Vinhos,38.98303,-9.07763
163,Bombarral,39.2670652,-9.1584324
164,Cadaval,39.242859,-9.1026628
165,Caldas da Rainha,39.4071857,-9.1346004
166,Lourinhã,39.2433932,-9.3119326
167,Nazaré,-13.0345586,-39.0062515
168,Óbidos,39.3619514,-9.157153
169,Peniche,39.3568749,-9.3786838
170,Sobral de Monte Agraço,39.01835,-9.15171
171,Torres Vedras,39.0930856,-9.260741
172,Abrantes,39.4629232,-8.1976171
173,Alcanena,39.4585519,-8.6697497
174,Constância,44.1767161,28.6507598
175,Entroncamento,39.4652196,-8.4682137
176,Ferreira do Zêzere,39.6934308,-8.2905545
177,Mação,39.554608,-7.9957035
178,Ourém,39.65679,-8.57963
179,Sardoal,39.53347,-8.16034
180,Tomar,39.6036596,-8.4150492
181,Torres Novas,39.47962,-8.53955
182,Vila Nova da Barquinha,39.4840045,-8.4299397
183,Almeirim,-1.5290377,-52.5788111
184,Alpiarça,39.2599352,-8.5845144
185,Azambuja,39.0689884,-8.8684921
186,Benavente,42.0032862,-5.6738595
187,Cartaxo,39.1619462,-8.7863222
188,Chamusca,39.3560025,-8.4802892
189,Coruche,38.958218,-8.5283498
190,Golegã,39.4017959,-8.4867361
191,Rio Maior,39.3365387,-8.9364098
192,Salvaterra de Magos,39.0249942,-8.7929278
193,Santarém,39.2363637,-8.6867081
194,Amadora,38.758959,-9.2365233
195,Cascais,38.6968919,-9.4204495
196,Lisboa,38.7077507,-9.1365919
197,Loures,38.8308741,-9.1684512
198,Mafra,38.9369782,-9.3282374
199,Odivelas,38.7904338,-9.1792617
200,Oeiras,38.6925777,-9.3123076
201,Sintra,38.8355446,-9.3522371
202,Vila Franca de Xira,38.9120641,-8.9889234
203,Alcochete,38.7560499,-8.9608437
204,Almada,38.6831302,-9.1576301
205,Barreiro,38.6340657,-9.0478559
206,Moita,38.6523995,-8.9935314
207,Montijo,38.9098936,-6.6151799
208,Palmela,38.569601,-8.9011653
209,Seixal,38.6422246,-9.1072662
210,Sesimbra,38.4436932,-9.0996273
211,Setúbal,38.5241783,-8.8932341
212,Alcácer do Sal,38.3729735,-8.5122705
213,Grândola,38.1765787,-8.5669505
214,Odemira,37.5976,-8.6422
215,Santiago do Cacém,38.018461,-8.6937882
216,Sines,37.956549,-8.8689639
217,Aljustrel,37.8903251,-8.1963521
218,Almodôvar,37.511607,-8.0603168
219,Alvito,41.6884643,13.7432643
220,Beja,38.0154479,-7.8650368
221,Castro Verde,37.697995,-8.082275
222,Cuba,23.0131338,-80.8328748
223,Ferreira do Alentejo,38.0585086,-8.1138197
224,Mértola,37.642043,-7.6606447
225,Moura,38.1409785,-7.4500699
226,Ourique,37.651112,-8.2237262
227,Serpa,37.9436517,-7.5966902
228,Vidigueira,38.2101595,-7.8014517
229,Alter do Chão,39.2001177,-7.659037
230,Arronches,39.122106,-7.2853362
231,Avis,39.0559501,-7.8897441
232,Campo Maior,-4.8339574,-42.1739786
233,Castelo de Vide,39.4152274,-7.4554188
234,Crato,-7.2369112,-39.4149236
235,Elvas,38.8806123,-7.1637237
236,Fronteira,-20.286111,-49.202778
237,Gavião,-11.4714303,-39.7826316
238,Marvão,39.394765,-7.3775491
239,Monforte,39.0531482,-7.4389355
240,Nisa,43.7009358,7.2683912
241,Ponte de Sor,39.2519303,-8.008997
242,Portalegre,39.2076447,-7.7215134
243,Sousel,38.95224,-7.67603
244,Alandroal,38.6024048,-7.3844274
245,Arraiolos,38.7227289,-7.9853053
246,Borba,38.8057942,-7.4542105
247,Estremoz,38.8432944,-7.586907
248,Évora,38.5707742,-7.9092808
249,Montemor-o-Novo,38.6481777,-8.2115858
250,Mora,39.683223,-3.7727849
251,Mourão,38.2975548,-7.2223345
252,Portel,-1.9387118,-50.8240402
253,Redondo,38.6466891,-7.5467636
254,Reguengos de Monsaraz,38.4243996,-7.5347109
255,Vendas Novas,38.6773855,-8.4552427
256,Viana do Alentejo,38.3347679,-8.0043972
257,Vila Viçosa,38.7774063,-7.4166909
258,Albufeira,37.088241,-8.2526339
259,Alcoutim,37.4023293,-7.6690499
260,Aljezur,37.3151549,-8.8040533
261,Castro Marim,37.2179367,-7.4457102
262,Faro,37.0162944,-7.935182
263,Lagoa,37.1325813,-8.4550509
264,Lagos,6.4550575,3.3941795
265,Loulé,37.1395485,-8.0232598
266,Monchique,37.3179725,-8.5558655
267,Olhão,37.0270369,-7.8411287
268,Portimão,37.1375808,-8.5368426
269,São Brás de Alportel,37.1529622,-7.8879138
270,Silves,37.2639826,-8.3487311
271,Tavira,37.1262493,-7.6499121
272,Vila do Bispo,37.0829799,-8.9096115
273,Vila Real de Santo António,37.1946052,-7.4155628
274,Angra do Heroísmo,38.7205898,-27.2798731
275,Calheta,38.6055151,-28.0187906
276,Horta,38.5795831,-28.7096295
277,Lagoa,37.1325813,-8.4550509
278,Lajes do Pico,38.3944509,-28.2522218
279,Madalena,41.2128379,9.4054906
280,Nordeste,37.8182511,-25.2203287
281,Ponta Delgada,37.7393398,-25.6689503
282,Povoação,37.7468829,-25.2451613
283,Ribeira Grande,37.8136666,-25.4644342
284,Santa Cruz da Graciosa,39.0528866,-28.0129803
285,São Roque do Pico,38.5134299,-28.3201553
286,Velas,38.6797531,-28.2052961
287,Vila da Praia da Vitória,38.7392376,-27.1562644
288,Vila do Porto,36.9726215,-25.1026495
289,Vila Franca do Campo,37.7171624,-25.4335352
290,Calheta,38.6055151,-28.0187906
291,Câmara de Lobos,32.6483323,-16.9763096
292,Funchal,32.6496497,-16.9086783
293,Machico,32.722875,-16.7659069
294,Ponta do Sol,32.6812371,-17.1040761
295,Porto Moniz,32.8669649,-17.1666328
296,Porto Santo,33.0657845,-16.3362236
297,Ribeira Brava,32.6700921,-17.0650395
298,Santa Cruz,28.467178,-16.2507843
299,Santana,-12.979217,-44.05064
300,São Vicente,-23.9664177,-46.3861401
