,municipality,house_price,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,year,quarter_num,quarter_ord,log_price_sqm,avg_income,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university
1058,Sertã,753.0,726.1767916666666,8.068631018518518,12.282222222222224,204.4,2.2711111111111117,2023,1,14,6.6240652277998935,1084.0,1.0,0.0,3.0,5.0,1.0,6.0,5.0,0.0,5.0,8.0,6.0,4.0,25.0,4.0,4.0,0.0
1060,Almeida,233.0,725.2581916666667,8.058424351851851,11.396666666666668,158.6,1.762222222222222,2023,1,14,5.4510384535657,1083.5,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,5.0,2.0,10.0,3.0,8.0,6.0,1.0,0.0
1061,Belmonte,600.0,754.7193694444444,8.385770771604937,12.873333333333331,47.6,0.5288888888888889,2023,1,14,6.396929655216146,1041.9,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,5.0,1.0,2.0,0.0,6.0,3.0,0.0,0.0
1063,Covilhã,792.0,717.0027111111111,7.966696790123457,9.44111111111111,284.5,3.161111111111111,2023,1,14,6.674561391814426,1178.5,1.0,1.0,3.0,4.0,3.0,26.0,4.0,8.0,17.0,26.0,15.0,13.0,64.0,20.0,6.0,2.0
1064,Figueira de Castelo Rodrigo,143.0,728.990325,8.0998925,9.648888888888887,180.8,2.008888888888889,2023,1,14,4.962844630259907,1036.3,0.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,7.0,7.0,5.0,5.0,18.0,1.0,1.0,1.0
1065,Fornos de Algodres,217.0,712.6549194444444,7.91838799382716,12.35777777777778,243.5,2.705555555555556,2023,1,14,5.37989735354046,1011.3,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,6.0,2.0,0.0,0.0
1066,Fundão,595.0,744.364075,8.270711944444445,9.356666666666667,171.8,1.908888888888889,2023,1,14,6.38856140554563,1186.9,1.0,1.0,1.0,4.0,3.0,24.0,1.0,4.0,12.0,21.0,9.0,15.0,58.0,12.0,3.0,2.0
1067,Gouveia,409.0,895.3908083333333,9.94878675925926,9.52888888888889,327.3,3.6366666666666663,2023,1,14,6.013715156042802,1098.8,2.0,0.0,3.0,7.0,3.0,9.0,4.0,0.0,10.0,11.0,5.0,4.0,28.0,4.0,2.0,1.0
1070,Mêda,284.0,725.9585111111111,8.066205679012345,11.012222222222222,156.5,1.738888888888889,2023,1,14,5.648974238161206,1019.1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0
1073,Seia,504.0,712.4741861111111,7.916379845679012,9.22,363.5,4.038888888888889,2023,1,14,6.222576268071369,1081.1,2.0,0.0,3.0,5.0,3.0,10.0,5.0,0.0,10.0,12.0,8.0,7.0,32.0,13.0,2.0,1.0
1074,Trancoso,311.0,695.2336694444444,7.724818549382716,14.16,236.2,2.6244444444444444,2023,1,14,5.739792912179234,1131.1,1.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,5.0,5.0,2.0,2.0,11.0,1.0,1.0,0.0
1075,Alcobaça,1076.0,1028.1659666666667,11.424066296296296,11.973333333333333,151.2,1.68,2023,1,14,6.98100574072173,1214.6,3.0,3.0,3.0,8.0,9.0,39.0,7.0,12.0,15.0,28.0,13.0,15.0,104.0,12.0,3.0,5.0
1077,Arruda dos Vinhos,1482.0,763.3286777777778,8.48142975308642,13.395555555555555,133.2,1.48,2023,1,14,7.301147805856032,1283.1,0.0,0.0,0.0,2.0,2.0,8.0,2.0,1.0,2.0,5.0,2.0,2.0,13.0,1.0,1.0,0.0
1078,Bombarral,1000.0,744.5823055555555,8.27313672839506,13.245555555555557,179.8,1.9977777777777777,2023,1,14,6.907755278982137,1130.1,1.0,0.0,1.0,3.0,0.0,8.0,5.0,0.0,3.0,5.0,3.0,3.0,14.0,4.0,2.0,0.0
1079,Cadaval,860.0,730.152011111111,8.11280012345679,12.739999999999998,150.2,1.6688888888888889,2023,1,14,6.756932389247553,1177.0,1.0,0.0,1.0,3.0,1.0,5.0,3.0,0.0,2.0,5.0,2.0,2.0,18.0,4.0,3.0,0.0
1081,Lourinhã,1322.0,742.5168361111112,8.250187067901235,15.065555555555555,181.5,2.0166666666666666,2023,1,14,7.186901020411631,1169.6,0.0,0.0,1.0,1.0,0.0,13.0,3.0,1.0,3.0,11.0,2.0,8.0,30.0,2.0,2.0,0.0
1082,Nazaré,1839.0,985.1783666666666,10.946426296296297,7.432222222222222,444.8,4.942222222222222,2023,1,14,7.516977224604321,1225.7,2.0,0.0,2.0,2.0,2.0,7.0,3.0,2.0,5.0,7.0,6.0,2.0,26.0,5.0,2.0,0.0
1083,Óbidos,1693.0,743.7696444444445,8.264107160493827,13.878888888888888,171.4,1.9044444444444448,2023,1,14,7.4342573821331355,1242.8,1.0,3.0,1.0,2.0,7.0,20.0,3.0,8.0,12.0,10.0,4.0,3.0,49.0,5.0,1.0,3.0
1084,Peniche,1513.0,742.9420416666667,8.254911574074073,15.894444444444444,173.8,1.9311111111111112,2023,1,14,7.321849713788356,1136.4,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,4.0,5.0,3.0,3.0,22.0,2.0,1.0,2.0
1085,Sobral de Monte Agraço,1041.0,761.8865861111111,8.465406512345679,14.035555555555556,138.8,1.5422222222222224,2023,1,14,6.947937068614969,1156.1,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,9.0,6.0,1.0,0.0
1086,Torres Vedras,1518.0,751.5405333333333,8.35045037037037,14.927777777777775,159.7,1.7744444444444445,2023,1,14,7.325148957955575,1232.8,1.0,0.0,1.0,5.0,4.0,36.0,5.0,1.0,7.0,34.0,6.0,12.0,78.0,9.0,4.0,0.0
1087,Abrantes,555.0,721.7097972222223,8.01899774691358,12.734444444444444,132.8,1.4755555555555555,2023,1,14,6.318968113746434,1289.0,1.0,0.0,1.0,5.0,2.0,10.0,7.0,0.0,19.0,22.0,10.0,6.0,47.0,12.0,10.0,1.0
1089,Constância,675.0,490.7130888888889,5.452367654320987,15.273333333333332,91.6,1.0177777777777777,2023,1,14,6.51471269087253,1418.8,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,9.0,5.0,3.0,1.0,7.0,2.0,3.0,0.0
1090,Entroncamento,899.0,730.1843,8.113158888888888,10.67,125.9,1.3988888888888888,2023,1,14,6.80128303447162,1343.3,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,12.0,1.0,0.0,1.0
1091,Ferreira do Zêzere,722.0,740.1893194444444,8.224325771604938,13.63,186.7,2.0744444444444445,2023,1,14,6.582025138892826,1158.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0
1092,Mação,252.0,739.7192611111111,8.219102901234567,13.305555555555555,134.5,1.4944444444444445,2023,1,14,5.529429087511423,1072.8,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,6.0,3.0,1.0,2.0,5.0,4.0,2.0,0.0
1094,Sardoal,421.0,739.9152,8.22128,12.963333333333336,145.6,1.6177777777777778,2023,1,14,6.042632833682381,998.9,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
1095,Tomar,817.0,731.1337694444444,8.123708549382716,12.653333333333332,140.7,1.5633333333333332,2023,1,14,6.705639094860003,1199.7,1.0,0.0,1.0,3.0,3.0,9.0,3.0,2.0,13.0,12.0,5.0,3.0,49.0,12.0,5.0,1.0
1096,Torres Novas,765.0,721.6659305555555,8.018510339506172,10.39222222222222,150.6,1.6733333333333331,2023,1,14,6.639875833826536,1298.5,1.0,0.0,3.0,4.0,4.0,28.0,4.0,1.0,19.0,14.0,4.0,3.0,47.0,9.0,4.0,2.0
1097,Vila Nova da Barquinha,836.0,730.1843,8.113158888888888,10.67,125.9,1.3988888888888888,2023,1,14,6.728628613084702,1117.3,1.0,0.0,0.0,3.0,2.0,6.0,3.0,0.0,8.0,4.0,3.0,2.0,9.0,4.0,3.0,0.0
1098,Almeirim,859.0,758.9682166666666,8.432980185185185,9.382222222222222,998.5,11.094444444444443,2023,1,14,6.755768921984255,1235.1,1.0,3.0,2.0,3.0,3.0,13.0,5.0,2.0,7.0,10.0,6.0,5.0,28.0,2.0,6.0,1.0
1099,Alpiarça,700.0,721.3133027777777,8.01459225308642,11.147777777777778,114.9,1.2766666666666666,2023,1,14,6.551080335043404,1154.9,0.0,0.0,0.0,2.0,0.0,5.0,3.0,1.0,2.0,5.0,2.0,2.0,13.0,0.0,2.0,0.0
1100,Azambuja,1146.0,748.6569027777778,8.318410030864197,11.056666666666668,108.6,1.2066666666666668,2023,1,14,7.044032897274685,1226.3,0.0,0.0,1.0,4.0,2.0,13.0,5.0,3.0,2.0,14.0,8.0,6.0,44.0,5.0,2.0,0.0
1101,Benavente,1222.0,719.2582944444445,7.991758827160494,12.022222222222222,82.7,0.9188888888888888,2023,1,14,7.108244139731541,1348.8,1.0,0.0,0.0,4.0,0.0,14.0,3.0,2.0,4.0,8.0,5.0,2.0,29.0,3.0,2.0,0.0
1102,Cartaxo,969.0,734.9991638888889,8.16665737654321,10.891111111111112,141.6,1.5733333333333333,2023,1,14,6.876264611890766,1243.7,0.0,0.0,0.0,2.0,0.0,12.0,3.0,0.0,3.0,12.0,4.0,5.0,30.0,6.0,2.0,0.0
1103,Chamusca,632.0,740.4459777777778,8.227177530864198,12.606666666666666,119.0,1.3222222222222222,2023,1,14,6.448889394146858,1194.4,0.0,1.0,2.0,2.0,3.0,12.0,7.0,0.0,13.0,22.0,11.0,5.0,46.0,12.0,7.0,2.0
1104,Coruche,865.0,740.4599833333333,8.227333148148148,11.11,101.7,1.13,2023,1,14,6.762729506931879,1209.6,0.0,0.0,1.0,3.0,0.0,20.0,1.0,0.0,9.0,8.0,8.0,5.0,33.0,1.0,0.0,1.0
1106,Rio Maior,884.0,735.6866027777778,8.174295586419753,13.462222222222222,142.1,1.5788888888888888,2023,1,14,6.784457062637643,1257.3,2.0,0.0,1.0,2.0,2.0,11.0,2.0,3.0,5.0,11.0,2.0,3.0,49.0,1.0,2.0,1.0
1107,Salvaterra de Magos,1213.0,755.1579777777778,8.390644197530865,10.86888888888889,116.2,1.291111111111111,2023,1,14,7.10085190894405,1165.2,1.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,4.0,4.0,3.0,2.0,17.0,2.0,0.0,0.0
1108,Santarém,927.0,720.9548833333333,8.010609814814815,10.243333333333332,114.8,1.2755555555555556,2023,1,14,6.831953565565855,1301.6,1.0,14.0,3.0,9.0,3.0,36.0,8.0,2.0,12.0,21.0,10.0,6.0,81.0,5.0,9.0,1.0
1109,Amadora,2108.0,753.34205,8.370467222222223,12.493333333333334,114.6,1.2733333333333332,2023,1,14,7.653494909661253,1734.8,1.0,3.0,1.0,5.0,7.0,45.0,8.0,10.0,3.0,69.0,17.0,12.0,108.0,9.0,10.0,2.0
1110,Cascais,3574.0,751.5422194444444,8.350469104938272,13.56,136.5,1.5166666666666666,2023,1,14,8.181440695719374,1449.8,2.0,3.0,3.0,6.0,7.0,61.0,6.0,29.0,17.0,58.0,19.0,15.0,171.0,11.0,6.0,5.0
1111,Lisboa,3965.0,759.0331527777778,8.433701697530864,12.16,109.3,1.2144444444444444,2023,1,14,8.285261134068948,1985.6,14.0,16.0,15.0,25.0,39.0,189.0,88.0,55.0,109.0,351.0,74.0,69.0,431.0,103.0,77.0,53.0
1112,Loures,2293.0,763.7596861111111,8.4862187345679,13.113333333333332,99.8,1.1088888888888888,2023,1,14,7.737616282857904,1440.3,2.0,1.0,1.0,15.0,6.0,121.0,12.0,23.0,11.0,87.0,18.0,25.0,190.0,12.0,14.0,3.0
1113,Mafra,2135.0,751.8858083333333,8.35428675925926,15.378888888888888,173.3,1.925555555555556,2023,1,14,7.666221925662725,1256.1,1.0,0.0,1.0,3.0,1.0,28.0,4.0,4.0,9.0,23.0,7.0,6.0,64.0,13.0,4.0,1.0
1115,Oeiras,3093.0,751.5422194444444,8.350469104938272,13.56,136.5,1.5166666666666666,2023,1,14,8.03689677268507,2104.8,2.0,0.0,3.0,6.0,8.0,66.0,5.0,12.0,11.0,58.0,18.0,15.0,123.0,11.0,16.0,10.0
1116,Sintra,1868.0,747.1593277777778,8.301770308641975,14.313333333333334,165.6,1.84,2023,1,14,7.532623618788788,1439.5,4.0,2.0,2.0,11.0,11.0,118.0,11.0,23.0,22.0,87.0,22.0,21.0,225.0,20.0,17.0,7.0
1117,Vila Franca de Xira,1798.0,761.4878666666667,8.460976296296296,11.482222222222225,103.1,1.1455555555555554,2023,1,14,7.494430215031565,1475.2,0.0,0.0,1.0,11.0,6.0,50.0,7.0,11.0,10.0,39.0,11.0,12.0,100.0,11.0,3.0,1.0
1118,Alcochete,1885.0,762.3852194444445,8.47094688271605,11.735555555555557,97.2,1.08,2023,1,14,7.541683099882111,2338.9,1.0,0.0,1.0,2.0,2.0,21.0,4.0,9.0,7.0,17.0,5.0,4.0,34.0,7.0,3.0,0.0
1119,Almada,2238.0,759.0331527777778,8.433701697530864,12.16,109.3,1.2144444444444444,2023,1,14,7.71333788887187,1354.3,3.0,3.0,1.0,6.0,4.0,82.0,10.0,31.0,21.0,60.0,14.0,12.0,111.0,28.0,10.0,10.0
1120,Barreiro,1556.0,762.3264583333333,8.47029398148148,11.43777777777778,103.5,1.15,2023,1,14,7.349873704738337,1337.8,2.0,0.0,1.0,2.0,1.0,35.0,5.0,11.0,3.0,37.0,10.0,8.0,75.0,9.0,5.0,1.0
1124,Seixal,1821.0,762.3264583333333,8.47029398148148,11.43777777777778,103.5,1.15,2023,1,14,7.507141079727608,1504.9,1.0,0.0,2.0,6.0,3.0,75.0,6.0,16.0,6.0,41.0,12.0,13.0,108.0,11.0,8.0,3.0
1125,Sesimbra,2012.0,764.7186194444445,8.496873549382716,17.723333333333333,114.1,1.2677777777777777,2023,1,14,7.60688453121963,1166.5,1.0,0.0,0.0,2.0,2.0,25.0,5.0,5.0,5.0,8.0,9.0,5.0,39.0,1.0,3.0,0.0
1126,Setúbal,1709.0,751.2514555555556,8.347238395061728,11.675555555555556,98.3,1.0922222222222222,2023,1,14,7.443663683115591,1429.1,2.0,0.0,2.0,5.0,7.0,35.0,4.0,5.0,12.0,41.0,15.0,9.0,82.0,7.0,13.0,1.0
1127,Alcácer do Sal,1222.0,753.0268138888889,8.366964598765433,10.88888888888889,73.1,0.8122222222222222,2023,1,14,7.108244139731541,1210.1,1.0,0.0,2.0,3.0,0.0,9.0,2.0,0.0,6.0,8.0,8.0,5.0,27.0,4.0,2.0,0.0
1128,Grândola,1793.0,782.310525,8.692339166666667,12.217777777777776,111.2,1.2355555555555555,2023,1,14,7.491645473605133,1408.7,2.0,0.0,2.0,3.0,1.0,11.0,4.0,0.0,6.0,15.0,9.0,5.0,41.0,5.0,3.0,1.0
1129,Odemira,1378.0,779.5026694444445,8.661140771604938,12.331111111111111,107.9,1.198888888888889,2023,1,14,7.228388451573604,1077.7,2.0,0.0,1.0,4.0,0.0,12.0,1.0,1.0,0.0,15.0,11.0,11.0,58.0,7.0,0.0,0.0
1130,Santiago do Cacém,1354.0,791.0143888888889,8.7890487654321,13.586666666666666,115.5,1.2833333333333334,2023,1,14,7.21081845347222,1273.1,0.0,0.0,2.0,5.0,1.0,12.0,3.0,0.0,5.0,15.0,7.0,6.0,37.0,2.0,1.0,1.0
1131,Sines,1718.0,782.5038666666667,8.694487407407408,13.15111111111111,114.5,1.272222222222222,2023,1,14,7.4489161025442,2180.8,1.0,0.0,2.0,6.0,1.0,5.0,3.0,1.0,3.0,8.0,7.0,1.0,17.0,1.0,1.0,1.0
1132,Aljustrel,659.0,765.6103916666667,8.50678212962963,10.346666666666668,67.1,0.7455555555555555,2023,1,14,6.490723534502507,1473.4,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,5.0,4.0,2.0,2.0,12.0,1.0,2.0,0.0
1133,Almodôvar,621.0,765.8316055555556,8.509240061728395,12.00777777777778,49.6,0.5511111111111111,2023,1,14,6.431331081933479,1117.8,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,1.0,13.0,0.0,0.0,0.0
1134,Alvito,571.0,703.1580055555555,7.812866728395061,5.015555555555555,348.5,3.8722222222222222,2023,1,14,6.3473892096560105,1266.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,0.0
1135,Beja,858.0,764.2867083333333,8.492074537037038,10.605555555555556,64.3,0.7144444444444444,2023,1,14,6.754604099487962,1298.9,2.0,0.0,1.0,2.0,1.0,8.0,3.0,3.0,13.0,12.0,6.0,3.0,42.0,3.0,2.0,2.0
1136,Castro Verde,475.0,759.7858222222222,8.442064691358025,11.43777777777778,61.7,0.6855555555555555,2023,1,14,6.163314804034641,2479.1,2.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,2.0,4.0,2.0,2.0,21.0,1.0,1.0,0.0
1137,Cuba,580.0,923.2543083333334,10.258381203703705,13.297777777777778,100.5,1.1166666666666667,2023,1,14,6.363028103540465,1110.8,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0,3.0,2.0,9.0,2.0,1.0,0.0
1139,Mértola,412.0,756.5355361111111,8.405950401234568,9.952222222222222,54.8,0.6088888888888888,2023,1,14,6.021023349349527,1038.6,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,13.0,4.0,5.0,4.0,16.0,2.0,3.0,0.0
1140,Moura,562.0,759.8777666666666,8.443086296296295,8.866666666666667,67.8,0.7533333333333333,2023,1,14,6.331501849893691,1137.2,1.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,6.0,12.0,9.0,2.0,22.0,1.0,1.0,0.0
1141,Ourique,595.0,767.5517638888889,8.528352932098766,11.312222222222225,69.8,0.7755555555555556,2023,1,14,6.38856140554563,1117.8,2.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,2.0,7.0,4.0,3.0,32.0,3.0,0.0,0.0
1142,Serpa,607.0,753.1884333333334,8.36876037037037,9.477777777777778,55.4,0.6155555555555555,2023,1,14,6.408528791059498,1102.1,2.0,0.0,2.0,2.0,2.0,4.0,3.0,0.0,12.0,12.0,9.0,4.0,28.0,3.0,0.0,0.0
1143,Vidigueira,473.0,758.6779861111111,8.429755401234567,11.38111111111111,99.7,1.1077777777777778,2023,1,14,6.159095388491933,1219.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,2.0,10.0,0.0,0.0,0.0
1144,Alter do Chão,412.0,753.5689583333333,8.372988425925925,10.03,112.2,1.2466666666666666,2023,1,14,6.021023349349527,1103.3,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,7.0,2.0,0.0,1.0
1145,Arronches,416.0,760.6572805555555,8.451747561728395,11.314444444444444,89.8,0.9977777777777778,2023,1,14,6.030685260261263,1101.6,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,5.0,3.0,0.0,0.0
1146,Avis,496.0,757.6378888888889,8.418198765432098,10.71111111111111,99.1,1.1011111111111112,2023,1,14,6.206575926724928,1193.6,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,7.0,2.0,2.0,14.0,0.0,0.0,0.0
1148,Castelo de Vide,486.0,760.9455333333333,8.45495037037037,12.127777777777778,120.4,1.3377777777777775,2023,1,14,6.186208623900494,1102.9,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0
1149,Crato,335.0,931.5892138888888,10.3509912654321,5.755555555555556,227.8,2.531111111111111,2023,1,14,5.814130531825066,1055.9,1.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,4.0,4.0,3.0,9.0,2.0,2.0,1.0
1150,Elvas,585.0,767.5987527777778,8.528875030864198,10.505555555555556,70.8,0.7866666666666666,2023,1,14,6.371611847231857,1098.1,1.0,0.0,1.0,3.0,1.0,13.0,5.0,3.0,15.0,11.0,10.0,9.0,23.0,3.0,6.0,1.0
1151,Fronteira,419.0,844.2494055555555,9.380548950617284,7.302222222222222,601.6,6.684444444444445,2023,1,14,6.037870919922137,1111.3,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
1154,Monforte,400.0,737.7415055555556,8.197127839506173,10.605555555555556,88.8,0.9866666666666666,2023,1,14,5.991464547107982,1201.1,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,2.0,1.0,6.0,2.0,0.0,0.0
1155,Nisa,342.0,744.5275166666667,8.272527962962963,9.035555555555556,62.2,0.6911111111111111,2023,1,14,5.834810737062605,1036.6,1.0,0.0,1.0,1.0,0.0,5.0,3.0,0.0,5.0,5.0,4.0,4.0,5.0,3.0,1.0,0.0
1156,Ponte de Sor,730.0,753.5788277777777,8.373098086419752,11.871111111111112,108.6,1.2066666666666666,2023,1,14,6.593044534142437,1179.5,0.0,0.0,0.0,3.0,0.0,10.0,3.0,0.0,3.0,10.0,6.0,5.0,25.0,3.0,4.0,0.0
1157,Portalegre,707.0,753.5689583333333,8.372988425925925,10.03,112.2,1.2466666666666666,2023,1,14,6.561030665896573,1262.4,11.0,11.0,6.0,30.0,10.0,62.0,30.0,8.0,78.0,107.0,65.0,44.0,221.0,31.0,28.0,16.0
1158,Sousel,370.0,752.7569638888889,8.363966265432099,10.662222222222224,101.0,1.1222222222222222,2023,1,14,5.91350300563827,1127.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,13.0,0.0,0.0,0.0
1159,Alandroal,534.0,746.9824638888889,8.299805154320987,9.913333333333334,90.8,1.008888888888889,2023,1,14,6.280395838960195,1171.4,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,6.0,5.0,7.0,3.0,15.0,1.0,0.0,0.0
1161,Borba,588.0,762.6330388888889,8.473700432098765,11.738888888888887,102.9,1.143333333333333,2023,1,14,6.376726947898627,1139.8,1.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,3.0,4.0,3.0,2.0,14.0,0.0,2.0,0.0
1162,Estremoz,762.0,762.6242444444445,8.473602716049383,11.64222222222222,112.9,1.2544444444444445,2023,1,14,6.635946555686647,1170.8,2.0,0.0,1.0,3.0,0.0,8.0,2.0,1.0,8.0,10.0,8.0,3.0,29.0,1.0,1.0,0.0
1163,Évora,1723.0,748.1960972222222,8.313289969135802,11.475555555555555,105.1,1.1677777777777778,2023,1,14,7.45182223652793,1369.7,3.0,0.0,5.0,2.0,2.0,27.0,7.0,1.0,13.0,22.0,11.0,8.0,53.0,4.0,4.0,9.0
1165,Mora,591.0,765.3253944444444,8.50361549382716,11.856666666666666,40.3,0.4477777777777778,2023,1,14,6.3818160174060985,1142.3,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,6.0,4.0,1.0,6.0,0.0,0.0,0.0
1167,Portel,405.0,712.2563222222223,7.91395913580247,7.42,1057.5,11.75,2023,1,14,6.003887067106539,1170.1,2.0,1.0,2.0,4.0,0.0,6.0,3.0,1.0,8.0,8.0,4.0,3.0,20.0,2.0,1.0,1.0
1169,Reguengos de Monsaraz,859.0,757.1329305555555,8.41258811728395,10.14,76.5,0.85,2023,1,14,6.755768921984255,1144.0,1.0,1.0,1.0,2.0,0.0,3.0,4.0,1.0,7.0,6.0,3.0,2.0,14.0,0.0,1.0,1.0
1170,Vendas Novas,1034.0,757.3772722222222,8.415303024691358,11.454444444444446,99.0,1.1,2023,1,14,6.9411900550683745,1248.7,1.0,0.0,0.0,2.0,0.0,9.0,3.0,0.0,1.0,4.0,3.0,1.0,15.0,4.0,1.0,0.0
1171,Viana do Alentejo,634.0,738.9879111111111,8.210976790123457,10.312222222222225,95.6,1.0622222222222222,2023,1,14,6.452048954437226,1091.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0
1172,Vila Viçosa,652.0,746.1947611111111,8.291052901234568,11.006666666666668,91.0,1.011111111111111,2023,1,14,6.480044561926653,1254.9,1.0,0.0,0.0,3.0,0.0,6.0,1.0,1.0,4.0,6.0,6.0,4.0,14.0,1.0,3.0,0.0
1173,Albufeira,2586.0,796.6855805555556,8.85206200617284,13.938888888888888,82.4,0.9155555555555556,2023,1,14,7.857867559331803,1216.3,2.0,0.0,0.0,1.0,1.0,16.0,2.0,6.0,4.0,18.0,9.0,7.0,44.0,7.0,2.0,0.0
1174,Alcoutim,753.0,762.4283833333334,8.471426481481481,10.59,54.0,0.6,2023,1,14,6.6240652277998935,1145.8,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,6.0,2.0,3.0,2.0,6.0,1.0,0.0,0.0
1175,Aljezur,2669.0,797.2391138888889,8.85821237654321,16.406666666666666,120.2,1.3355555555555556,2023,1,14,7.889459149404524,1093.1,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,6.0,4.0,3.0,3.0,13.0,0.0,0.0,0.0
1177,Faro,2297.0,795.212125,8.835690277777777,13.246666666666668,68.8,0.7644444444444444,2023,1,14,7.739359202689098,1375.8,4.0,0.0,4.0,5.0,3.0,29.0,5.0,6.0,10.0,21.0,7.0,7.0,53.0,8.0,6.0,3.0
1178,Lagoa,2415.0,1596.6641388888888,8.870356327160493,12.885555555555555,156.8,0.8711111111111112,2023,1,14,7.789454566086673,1264.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,1.0,2.0,11.0,2.0,3.0,15.0,5.0,2.0,0.0
1179,Lagoa,2415.0,1596.6641388888888,8.870356327160493,12.885555555555555,156.8,0.8711111111111112,2023,1,14,7.789454566086673,1173.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,1.0,2.0,11.0,2.0,3.0,15.0,5.0,2.0,0.0
1180,Lagos,2837.0,852.1804666666667,9.468671851851852,13.057777777777778,100.3,1.1144444444444443,2023,1,14,7.950502434808851,1185.8,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,10.0,5.0,6.0,32.0,5.0,2.0,0.0
1181,Loulé,3000.0,782.0366361111111,8.689295956790122,14.714444444444444,82.2,0.9133333333333332,2023,1,14,8.006367567650246,1264.5,4.0,0.0,4.0,6.0,4.0,47.0,7.0,7.0,19.0,35.0,13.0,16.0,95.0,14.0,9.0,4.0
1182,Monchique,1110.0,787.573538888889,8.750817098765433,12.228888888888887,105.1,1.1677777777777778,2023,1,14,7.01211529430638,1106.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0
1185,São Brás de Alportel,1802.0,781.2155527777778,8.680172808641975,13.913333333333334,81.7,0.9077777777777778,2023,1,14,7.496652438168283,1145.4,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,4.0,2.0,1.0,1.0,13.0,3.0,2.0,0.0
1186,Silves,2009.0,784.8141055555556,8.720156728395061,12.482222222222225,67.1,0.7455555555555555,2023,1,14,7.605392364814935,1215.8,3.0,1.0,1.0,6.0,1.0,35.0,5.0,5.0,11.0,36.0,13.0,16.0,68.0,16.0,5.0,0.0
