,municipality,house_price,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,year,quarter_num,quarter_ord,log_price_sqm,avg_income,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university
26,Gondomar,1570.0,535.6684305555556,5.822482940821256,12.833695652173914,830.0,9.021739130434783,2023,4,17,7.358830898342354,1222.9,2.0,2.0,2.0,11.0,3.0,74.0,6.0,7.0,12.0,46.0,17.0,20.0,188.0,30.0,10.0,1.0
27,Maia,1806.0,541.8554638888888,5.889733303140096,14.882608695652175,733.4,7.971739130434782,2023,4,17,7.498869733976931,1524.7,5.0,1.0,2.0,12.0,6.0,68.0,7.0,22.0,14.0,68.0,15.0,25.0,165.0,55.0,10.0,11.0
28,Matosinhos,2491.0,547.2973472222222,5.948884208937199,14.93913043478261,710.5,7.7228260869565215,2023,4,17,7.820439515262181,1600.8,3.0,4.0,3.0,8.0,9.0,54.0,7.0,22.0,20.0,61.0,13.0,19.0,127.0,44.0,12.0,23.0
29,Oliveira de Azeméis,1000.0,540.2306416666667,5.872072192028986,11.280434782608696,994.9,10.814130434782609,2023,4,17,6.907755278982137,1368.8,4.0,1.0,8.0,9.0,5.0,38.0,7.0,6.0,12.0,27.0,6.0,21.0,108.0,12.0,12.0,3.0
30,Paredes,1081.0,619.3597055555556,6.732170712560387,13.07391304347826,182.5,1.983695652173913,2023,4,17,6.985641817639208,1136.5,0.0,0.0,1.0,9.0,2.0,29.0,3.0,4.0,4.0,18.0,7.0,9.0,89.0,14.0,5.0,2.0
31,Porto,2866.0,547.2973472222222,5.948884208937199,14.93913043478261,710.5,7.7228260869565215,2023,4,17,7.960672608388117,1761.4,8.0,11.0,11.0,8.0,20.0,72.0,20.0,39.0,72.0,119.0,36.0,30.0,213.0,53.0,24.0,43.0
32,Póvoa de Varzim,1737.0,545.099375,5.924993206521739,14.669565217391304,827.9,8.998913043478261,2023,4,17,7.459914766241105,1228.5,0.0,0.0,0.0,3.0,5.0,22.0,4.0,8.0,6.0,14.0,5.0,2.0,49.0,4.0,3.0,3.0
34,Santo Tirso,1178.0,531.8926611111111,5.781441968599034,12.427173913043475,810.9,8.814130434782609,2023,4,17,7.071573364211532,1264.1,1.0,0.0,2.0,7.0,4.0,20.0,1.0,8.0,6.0,29.0,9.0,10.0,95.0,10.0,3.0,0.0
35,São João da Madeira,1084.0,541.1288916666666,5.881835778985507,12.122826086956522,936.1,10.175,2023,4,17,6.988413181999592,1321.5,2.0,0.0,1.0,3.0,2.0,7.0,1.0,3.0,2.0,6.0,2.0,5.0,26.0,4.0,4.0,0.0
37,Vale de Cambra,1172.0,541.1288916666666,5.881835778985507,12.122826086956522,936.1,10.175,2023,4,17,7.066466970136958,1367.5,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,7.0,2.0,3.0,48.0,2.0,5.0,0.0
38,Valongo,1528.0,535.6684305555556,5.822482940821256,12.833695652173914,830.0,9.021739130434783,2023,4,17,7.331714969726466,1308.4,3.0,2.0,1.0,5.0,4.0,38.0,2.0,4.0,6.0,26.0,11.0,8.0,101.0,18.0,7.0,1.0
39,Vila do Conde,1736.0,545.099375,5.924993206521739,14.669565217391304,827.9,8.998913043478261,2023,4,17,7.459338895220296,1363.8,1.0,0.0,1.0,6.0,6.0,21.0,5.0,9.0,13.0,30.0,11.0,8.0,84.0,18.0,8.0,5.0
40,Vila Nova de Gaia,1873.0,547.2973472222222,5.948884208937199,14.93913043478261,710.5,7.7228260869565215,2023,4,17,7.5352967024440884,1392.3,6.0,4.0,6.0,10.0,9.0,73.0,17.0,25.0,49.0,80.0,24.0,20.0,207.0,38.0,16.0,15.0
42,Chaves,887.0,495.3289916666666,5.384010778985507,8.55108695652174,479.1,5.207608695652175,2023,4,17,6.787844982309579,1181.3,1.0,1.0,2.0,4.0,3.0,13.0,2.0,1.0,9.0,17.0,7.0,6.0,35.0,3.0,0.0,1.0
