,municipality,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,windy_days,rainy_days,sunny_days,warm_days,quarter_num,quarter_ord,avg_income,people/km2,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,5 - 9,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 ou mais,Menos de 5,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,log_price_sqm
14,Terras de Bouro,498.61809166666666,5.419761865942029,8.179347826086957,1169.9,12.716304347826089,0,56,38,3,4,17,1141.7,23.0,238.0,316.0,346.0,324.0,284.0,312.0,368.0,417.0,198.0,490.0,486.0,488.0,513.0,428.0,388.0,274.0,341.0,177.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,7.0,4.0,2.0,3.0,18.0,1.0,0.0,0.0,6.71295620067707
15,Vila Verde,509.14480555555554,5.534182669082125,9.23913043478261,1044.7,11.355434782608697,1,56,43,3,4,17,1096.1,210.6,2275.0,2523.0,2867.0,2746.0,2666.0,2897.0,3476.0,3801.0,1984.0,3621.0,3226.0,3323.0,2861.0,2471.0,2141.0,1564.0,1761.0,1947.0,1.0,0.0,3.0,5.0,6.0,27.0,2.0,4.0,4.0,21.0,6.0,6.0,68.0,1.0,0.0,0.0,6.9874902470009905
16,Cabeceiras de Basto,499.34591944444446,5.427673037439614,10.877173913043478,1128.9,12.270652173913044,1,56,39,1,4,17,1016.1,64.3,689.0,890.0,925.0,873.0,839.0,848.0,1014.0,1154.0,596.0,1133.0,1147.0,1188.0,1143.0,782.0,689.0,500.0,657.0,493.0,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,8.0,6.0,2.0,2.0,17.0,1.0,0.0,0.0,6.447305862541213
17,Fafe,508.24579166666666,5.524410778985507,10.819565217391304,1009.8,10.97608695652174,1,56,40,1,4,17,1065.0,221.4,2061.0,2271.0,2655.0,2602.0,2542.0,2721.0,3254.0,3860.0,1806.0,3666.0,3700.0,3619.0,3571.0,2962.0,2473.0,1475.0,1530.0,1746.0,0.0,0.0,1.0,1.0,1.0,15.0,2.0,3.0,7.0,11.0,3.0,3.0,49.0,1.0,1.0,1.0,6.876264611890766
18,Guimarães,521.3514055555555,5.666863103864734,11.1,965.3,10.492391304347825,1,55,44,3,4,17,1179.0,650.6,6626.0,7575.0,8699.0,8792.0,8873.0,9316.0,10672.0,12253.0,6428.0,12675.0,12554.0,11802.0,10791.0,8911.0,6501.0,4128.0,4070.0,6123.0,6.0,0.0,7.0,9.0,14.0,61.0,13.0,32.0,25.0,80.0,16.0,27.0,226.0,14.0,9.0,10.0,7.105786129481271
19,Mondim de Basto,506.6256222222222,5.506800241545894,9.770652173913044,1055.8,11.47608695652174,0,56,42,2,4,17,976.2,37.2,240.0,293.0,373.0,335.0,286.0,287.0,346.0,441.0,197.0,490.0,543.0,511.0,540.0,393.0,359.0,287.0,314.0,170.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,4.0,4.0,2.0,1.0,19.0,1.0,0.0,0.0,6.284134161070802
20,Póvoa de Lanhoso,511.0237805555556,5.554606310386474,9.79782608695652,1180.6,12.832608695652173,0,55,42,3,4,17,1050.5,167.9,1015.0,1175.0,1311.0,1293.0,1229.0,1260.0,1500.0,1698.0,852.0,1705.0,1671.0,1810.0,1631.0,1252.0,1039.0,633.0,748.0,785.0,0.0,0.0,1.0,2.0,1.0,11.0,1.0,2.0,2.0,5.0,1.0,2.0,18.0,0.0,1.0,1.0,6.826545223556594
21,Vieira do Minho,486.2438722222222,5.285259480676328,9.581521739130435,1453.5,15.798913043478262,0,56,37,1,4,17,1021.5,55.7,437.0,506.0,640.0,601.0,562.0,574.0,702.0,817.0,342.0,828.0,924.0,985.0,1039.0,835.0,777.0,489.0,657.0,351.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,1.0,4.0,6.0,4.0,3.0,14.0,3.0,0.0,0.0,6.335054251498059
22,Vila Nova de Famalicão,526.1592083333334,5.719121829710145,11.740217391304348,838.9,9.118478260869566,2,56,42,3,4,17,1347.6,674.6,6051.0,6741.0,7691.0,7900.0,7830.0,8059.0,9461.0,10974.0,5612.0,10824.0,10775.0,9618.0,8783.0,7555.0,5535.0,3563.0,3573.0,5449.0,0.0,1.0,2.0,9.0,6.0,50.0,6.0,15.0,17.0,46.0,12.0,12.0,132.0,14.0,7.0,2.0,7.142036574706803
23,Vizela,529.7277,5.757909782608696,12.058695652173911,864.0,9.391304347826088,2,55,43,3,4,17,1104.9,993.1,1053.0,1214.0,1406.0,1538.0,1556.0,1553.0,1752.0,1872.0,1060.0,2036.0,1998.0,1743.0,1600.0,1254.0,821.0,548.0,469.0,1056.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,2.0,21.0,3.0,1.0,0.0,6.9782137426306985
24,Arouca,543.5273166666667,5.907905615942029,11.38586956521739,894.2,9.719565217391304,2,55,44,3,4,17,1174.6,63.6,1000.0,1090.0,1139.0,1075.0,1006.0,1147.0,1350.0,1560.0,813.0,1547.0,1533.0,1619.0,1479.0,1283.0,1063.0,700.0,810.0,702.0,2.0,1.0,2.0,6.0,1.0,9.0,5.0,2.0,5.0,10.0,3.0,9.0,58.0,3.0,6.0,0.0,6.828712071641684
26,Gondomar,535.6684305555556,5.822482940821256,12.833695652173914,830.0,9.021739130434783,2,55,41,3,4,17,1222.9,1277.9,7484.0,8250.0,9379.0,9141.0,9665.0,9879.0,11338.0,12789.0,6745.0,13280.0,13139.0,12495.0,11233.0,9938.0,7777.0,5085.0,4440.0,6525.0,2.0,2.0,2.0,11.0,3.0,74.0,6.0,7.0,12.0,46.0,17.0,20.0,188.0,30.0,10.0,1.0,7.358830898342354
27,Maia,541.8554638888888,5.889733303140096,14.882608695652175,733.4,7.971739130434782,3,56,42,7,4,17,1524.7,1719.0,6991.0,7554.0,8012.0,7699.0,7994.0,8775.0,10487.0,12073.0,6315.0,11738.0,10786.0,9598.0,8290.0,7405.0,5996.0,3711.0,3600.0,5570.0,5.0,1.0,2.0,12.0,6.0,68.0,7.0,22.0,14.0,68.0,15.0,25.0,165.0,55.0,10.0,11.0,7.498869733976931
