,municipality,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,windy_days,rainy_days,sunny_days,warm_days,quarter_num,quarter_ord,avg_income,people/km2,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,5 - 9,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 ou mais,Menos de 5,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,log_price_sqm
1309,Murtosa,532.612525,5.789266576086956,15.543478260869565,868.0,9.434782608695652,3,69,30,3,4,13,1039.7,146.7,515.0,548.0,559.0,558.0,596.0,636.0,739.0,800.0,483.0,743.0,727.0,739.0,635.0,675.0,521.0,402.0,412.0,435.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,3.0,11.0,0.0,0.0,0.0,6.951772164398911
1310,Oliveira do Bairro,518.8383277777777,5.6395470410628015,11.98695652173913,740.8,8.052173913043477,0,69,31,3,4,13,1211.4,277.7,1205.0,1228.0,1311.0,1321.0,1326.0,1428.0,1784.0,2095.0,1088.0,1782.0,1502.0,1447.0,1422.0,1317.0,1119.0,867.0,961.0,1046.0,0.0,0.0,0.0,1.0,2.0,9.0,2.0,0.0,4.0,5.0,3.0,3.0,39.0,3.0,0.0,0.0,6.826545223556594
1311,Ovar,431.8509472222222,4.694032035024154,8.456521739130435,118.8,1.2913043478260868,0,45,20,0,4,13,1259.6,378.4,2522.0,2672.0,3176.0,3043.0,2968.0,3287.0,3844.0,4487.0,2299.0,4501.0,4325.0,4018.0,3699.0,3220.0,2297.0,1678.0,1623.0,2228.0,3.0,0.0,4.0,4.0,4.0,32.0,6.0,5.0,11.0,30.0,9.0,23.0,92.0,15.0,12.0,0.0,7.123672785204607
1312,Sever do Vouga,482.9102333333333,5.249024275362319,12.27608695652174,1216.5,13.222826086956522,0,70,30,0,4,13,1215.4,84.0,417.0,509.0,562.0,488.0,413.0,543.0,680.0,815.0,363.0,811.0,810.0,840.0,832.0,764.0,655.0,505.0,567.0,341.0,0.0,1.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,6.0,1.0,4.0,21.0,1.0,4.0,0.0,6.18826412308259
1313,Vagos,540.3737555555556,5.873627777777778,12.542391304347827,799.1,8.685869565217391,0,67,34,3,4,13,1173.5,143.9,1077.0,1156.0,1218.0,1275.0,1337.0,1496.0,1609.0,1739.0,1042.0,1685.0,1662.0,1622.0,1418.0,1439.0,1154.0,910.0,848.0,1041.0,0.0,0.0,1.0,3.0,1.0,12.0,0.0,1.0,0.0,5.0,2.0,4.0,33.0,0.0,0.0,0.0,7.057897937411856
1315,Cantanhede,542.5781722222222,5.897588828502415,12.879347826086958,689.3,7.492391304347826,0,66,36,3,4,13,1175.2,88.1,1452.0,1527.0,1635.0,1527.0,1504.0,1837.0,2233.0,2531.0,1228.0,2342.0,2331.0,2511.0,2515.0,2457.0,2141.0,1736.0,1684.0,1255.0,0.0,0.0,1.0,3.0,3.0,25.0,2.0,1.0,5.0,18.0,7.0,7.0,67.0,0.0,1.0,0.0,6.688354713946762
1316,Coimbra,537.1893222222222,5.839014371980676,12.610869565217392,681.8,7.410869565217391,0,63,35,3,4,13,1331.2,447.1,5994.0,6259.0,7343.0,7822.0,7872.0,8224.0,9935.0,10633.0,5583.0,10088.0,10362.0,10324.0,9540.0,9313.0,7178.0,5295.0,5631.0,5417.0,3.0,4.0,13.0,5.0,13.0,58.0,13.0,16.0,22.0,50.0,12.0,30.0,133.0,17.0,10.0,18.0,7.416979621381154
1317,Condeixa-a-Nova,534.7293861111111,5.812275935990338,13.084782608695653,584.4,6.352173913043478,2,67,36,3,4,13,1152.1,124.1,907.0,900.0,869.0,740.0,817.0,984.0,1324.0,1554.0,758.0,1356.0,1299.0,1076.0,944.0,971.0,733.0,648.0,672.0,652.0,0.0,0.0,1.0,1.0,3.0,10.0,1.0,0.0,4.0,7.0,1.0,6.0,24.0,2.0,1.0,1.0,6.960347729101308
1320,Lousã,515.3816361111111,5.601974305555555,11.871739130434785,638.9,6.944565217391304,0,68,36,2,4,13,1093.4,124.4,866.0,939.0,935.0,803.0,805.0,972.0,1248.0,1514.0,698.0,1375.0,1289.0,1152.0,1034.0,975.0,808.0,601.0,586.0,616.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,1.0,4.0,6.0,1.0,2.0,9.0,0.0,2.0,0.0,6.75110146893676
1322,Mira,622.976275,6.77148125,10.63804347826087,116.7,1.2684782608695653,0,41,52,0,4,13,1076.4,99.1,552.0,521.0,540.0,553.0,571.0,654.0,794.0,869.0,442.0,841.0,815.0,894.0,884.0,887.0,842.0,617.0,557.0,458.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,2.0,2.0,15.0,0.0,0.0,0.0,7.074963197966044
1325,Mortágua,531.4168972222222,5.776270621980677,10.554347826086955,751.3000000000001,8.166304347826088,0,67,35,1,4,13,1233.7,35.6,314.0,320.0,370.0,384.0,377.0,443.0,567.0,559.0,280.0,556.0,593.0,684.0,787.0,765.0,657.0,543.0,468.0,278.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,3.0,0.0,0.0,6.456769655572163
1329,Penela,530.7578083333333,5.76910661231884,13.741304347826087,607.8,6.606521739130434,1,68,37,1,4,13,1096.7,41.1,244.0,236.0,239.0,256.0,257.0,285.0,333.0,393.0,183.0,404.0,383.0,442.0,349.0,388.0,319.0,291.0,369.0,164.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,6.0,0.0,1.0,2.0,13.0,0.0,0.0,0.0,6.4967749901858625
1331,Tábua,523.4814611111111,5.690015881642512,10.889130434782608,663.8,7.215217391304347,0,68,34,2,4,13,1078.0,57.1,475.0,497.0,588.0,494.0,579.0,577.0,684.0,798.0,435.0,784.0,812.0,849.0,816.0,757.0,686.0,568.0,617.0,394.0,0.0,0.0,3.0,3.0,1.0,12.0,4.0,1.0,2.0,5.0,3.0,5.0,16.0,5.0,0.0,0.0,6.403574197934815
1332,Vila Nova de Poiares,521.6178583333333,5.6697593297101445,11.232608695652177,646.1,7.022826086956522,0,66,36,3,4,13,1098.4,83.5,318.0,330.0,344.0,398.0,331.0,388.0,469.0,568.0,261.0,560.0,530.0,507.0,468.0,431.0,356.0,272.0,307.0,217.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,6.493753839851686
1333,Alvaiázere,508.27095,5.524684239130435,12.847826086956522,689.8,7.497826086956521,0,66,35,0,4,13,1052.2,39.2,234.0,241.0,272.0,259.0,259.0,257.0,318.0,366.0,167.0,406.0,507.0,509.0,500.0,544.0,437.0,387.0,469.0,158.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,9.0,0.0,0.0,0.0,5.981414211254481
1334,Ansião,530.9837638888889,5.771562650966184,13.72391304347826,653.5,7.103260869565218,0,68,34,1,4,13,1088.6,66.5,430.0,557.0,600.0,452.0,507.0,549.0,687.0,789.0,353.0,832.0,911.0,884.0,841.0,834.0,764.0,641.0,714.0,360.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,3.0,1.0,3.0,17.0,0.0,0.0,0.0,6.429719478039138
1335,Batalha,567.9156222222222,6.172995893719806,14.08695652173913,505.0,5.489130434782608,0,61,37,5,4,13,1214.5,156.0,837.0,804.0,872.0,856.0,852.0,957.0,1186.0,1209.0,759.0,1147.0,1121.0,1122.0,1042.0,909.0,726.0,590.0,472.0,672.0,2.0,1.0,1.0,5.0,2.0,10.0,4.0,2.0,9.0,8.0,3.0,5.0,32.0,1.0,2.0,0.0,6.84587987526405
1337,Figueiró dos Vinhos,477.96017777777774,5.195219323671497,12.585869565217392,846.7,9.203260869565218,0,66,33,1,4,13,1004.9,30.1,179.0,196.0,228.0,188.0,215.0,239.0,255.0,356.0,154.0,338.0,399.0,476.0,483.0,426.0,377.0,283.0,281.0,140.0,0.0,0.0,1.0,2.0,2.0,7.0,1.0,0.0,2.0,7.0,2.0,2.0,9.0,1.0,1.0,0.0,6.248042874508429
1339,Marinha Grande,571.0670166666666,6.20725018115942,13.709782608695653,499.2,5.426086956521739,0,61,38,5,4,13,1452.7,214.4,1886.0,2078.0,2107.0,2076.0,2159.0,2330.0,2973.0,3280.0,1703.0,2986.0,2775.0,2712.0,2517.0,2460.0,1934.0,1323.0,1245.0,1596.0,2.0,0.0,1.0,2.0,0.0,21.0,2.0,3.0,5.0,12.0,5.0,2.0,43.0,3.0,3.0,2.0,6.884486652042782
1340,Pedrógão Grande,483.340825,5.253704619565218,11.758695652173913,781.9,8.498913043478261,0,65,33,1,4,13,985.7,27.4,109.0,153.0,160.0,153.0,151.0,172.0,179.0,209.0,93.0,249.0,251.0,322.0,342.0,249.0,223.0,184.0,244.0,82.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,0.0,6.175867270105761
1341,Pombal,533.7083805555556,5.801178049516908,13.81086956521739,605.2,6.578260869565218,0,65,34,2,4,13,1148.9,82.0,2169.0,2443.0,2654.0,2330.0,2364.0,2649.0,3268.0,3671.0,1937.0,3479.0,3571.0,3886.0,3602.0,3505.0,3001.0,2538.0,2451.0,1835.0,1.0,0.0,1.0,7.0,1.0,33.0,1.0,4.0,6.0,21.0,6.0,6.0,91.0,11.0,1.0,0.0,6.7661917146603505
1344,Carregal do Sal,519.3050527777777,5.644620138888889,10.194565217391304,915.6,9.95217391304348,0,71,34,0,4,13,1152.4,77.7,377.0,444.0,435.0,412.0,373.0,454.0,535.0,589.0,316.0,587.0,665.0,650.0,684.0,740.0,580.0,469.0,459.0,309.0,0.0,0.0,1.0,4.0,0.0,8.0,1.0,1.0,3.0,5.0,1.0,1.0,10.0,5.0,1.0,0.0,6.257667587882639
1345,Castro Daire,479.787325,5.215079619565217,10.103260869565217,936.6,10.180434782608696,0,65,31,0,4,13,980.5,35.9,524.0,643.0,673.0,546.0,566.0,592.0,795.0,928.0,402.0,930.0,1022.0,1136.0,1089.0,1095.0,862.0,712.0,755.0,352.0,0.0,0.0,1.0,4.0,0.0,7.0,0.0,1.0,4.0,8.0,2.0,1.0,28.0,1.0,1.0,0.0,6.269096283706261
1346,Mangualde,529.5696416666667,5.756191757246377,11.667391304347827,570.0,6.195652173913044,0,64,35,0,4,13,1264.3,83.6,787.0,861.0,927.0,843.0,807.0,1006.0,1162.0,1284.0,664.0,1178.0,1313.0,1381.0,1418.0,1282.0,1104.0,825.0,875.0,613.0,0.0,0.0,1.0,2.0,0.0,9.0,1.0,3.0,0.0,2.0,3.0,1.0,21.0,5.0,1.0,0.0,6.315358001522335
1347,Nelas,523.5663972222222,5.690939100241546,12.134782608695652,626.4,6.808695652173912,0,65,34,0,4,13,1217.2,104.6,560.0,674.0,686.0,519.0,543.0,691.0,885.0,936.0,507.0,815.0,857.0,971.0,1042.0,952.0,770.0,665.0,672.0,410.0,0.0,0.0,1.0,2.0,0.0,15.0,1.0,0.0,2.0,2.0,4.0,3.0,17.0,5.0,1.0,0.0,6.289715570908998
1348,Oliveira de Frades,466.4607083333333,5.070225090579711,8.05108695652174,842.4,9.156521739130437,0,67,29,0,4,13,1261.6,66.2,438.0,468.0,518.0,519.0,517.0,572.0,624.0,746.0,376.0,677.0,670.0,689.0,610.0,580.0,480.0,393.0,366.0,380.0,0.0,0.0,1.0,3.0,1.0,14.0,2.0,0.0,4.0,8.0,2.0,3.0,19.0,1.0,1.0,0.0,6.52649485957079
1349,Penalva do Castelo,526.8377666666667,5.726497463768116,12.183695652173911,691.5,7.516304347826087,0,65,36,0,4,13,1007.9,54.2,294.0,350.0,330.0,299.0,256.0,327.0,464.0,502.0,233.0,450.0,465.0,549.0,591.0,572.0,518.0,414.0,483.0,183.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,6.089044875446846
1350,Santa Comba Dão,531.4168972222222,5.776270621980677,10.554347826086955,751.3000000000001,8.166304347826088,0,67,35,0,4,13,1053.4,96.5,442.0,509.0,498.0,475.0,459.0,508.0,670.0,788.0,361.0,678.0,709.0,806.0,819.0,866.0,703.0,554.0,596.0,363.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,3.0,0.0,0.0,6.293419278846481
1351,São Pedro do Sul,986.0825111111112,10.718288164251208,13.379347826086958,198.4,2.1565217391304343,0,37,77,7,4,13,949.5,43.2,594.0,677.0,793.0,683.0,591.0,686.0,832.0,1023.0,484.0,992.0,1055.0,1204.0,1205.0,1254.0,998.0,738.0,846.0,411.0,1.0,0.0,4.0,7.0,1.0,12.0,6.0,1.0,4.0,16.0,3.0,5.0,38.0,4.0,2.0,1.0,6.677083461247136
1352,Sátão,494.3249638888889,5.373097433574879,12.525,872.8,9.48695652173913,0,65,34,0,4,13,940.2,54.6,433.0,493.0,586.0,523.0,475.0,551.0,669.0,723.0,406.0,764.0,750.0,860.0,873.0,760.0,738.0,497.0,590.0,345.0,0.0,0.0,1.0,2.0,1.0,8.0,1.0,0.0,2.0,3.0,4.0,2.0,12.0,0.0,2.0,0.0,6.175867270105761
1353,Tondela,494.9110611111111,5.379468055555556,10.560869565217391,807.2,8.773913043478261,0,69,32,0,4,13,1221.7,69.1,963.0,1113.0,1277.0,1126.0,1170.0,1226.0,1495.0,1775.0,849.0,1719.0,1876.0,1975.0,1900.0,2009.0,1679.0,1387.0,1341.0,772.0,0.0,0.0,1.0,4.0,2.0,24.0,1.0,4.0,6.0,10.0,4.0,5.0,29.0,1.0,3.0,0.0,6.459904454377535
1354,Vila Nova de Paiva,477.6425527777778,5.191766878019323,13.607608695652177,870.3,9.459782608695653,0,68,34,0,4,13,953.2,26.7,177.0,211.0,241.0,218.0,226.0,227.0,263.0,307.0,151.0,287.0,346.0,370.0,373.0,370.0,278.0,228.0,297.0,120.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,9.0,0.0,4.0,0.0,5.631211781821365
1355,Viseu,495.1997194444445,5.382605646135266,11.459782608695653,724.4,7.873913043478261,0,65,31,0,4,13,1172.1,197.9,4846.0,5119.0,5444.0,5011.0,5066.0,5892.0,7467.0,8160.0,4245.0,7315.0,6734.0,6750.0,6483.0,5982.0,4861.0,3572.0,3438.0,3981.0,2.0,2.0,3.0,8.0,6.0,55.0,6.0,12.0,12.0,32.0,6.0,8.0,114.0,7.0,5.0,10.0,7.047517221357296
1356,Vouzela,474.6795861111111,5.1595607185990335,9.382608695652175,1182.3,12.85108695652174,0,69,30,0,4,13,1027.3,49.8,354.0,418.0,485.0,447.0,478.0,480.0,589.0,655.0,308.0,669.0,731.0,682.0,673.0,711.0,618.0,523.0,513.0,318.0,0.0,0.0,1.0,3.0,3.0,12.0,3.0,0.0,3.0,6.0,3.0,4.0,14.0,2.0,3.0,0.0,6.0844994130751715
1359,Oleiros,500.94752222222223,5.445081763285025,15.675,790.7,8.594565217391304,4,78,20,3,4,13,1069.0,10.4,111.0,114.0,173.0,160.0,161.0,190.0,240.0,231.0,92.0,289.0,357.0,415.0,461.0,483.0,423.0,394.0,483.0,100.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,6.0,0.0,2.0,0.0,6.013715156042802
1360,Penamacor,491.1175611111111,5.338234359903382,11.384782608695652,562.9,6.118478260869565,0,57,36,0,4,13,973.5,8.4,116.0,136.0,172.0,166.0,187.0,169.0,211.0,250.0,94.0,309.0,330.0,412.0,390.0,420.0,394.0,336.0,555.0,101.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,5.564520407322694
1361,Proença-a-Nova,495.5732833333333,5.386666123188406,12.095652173913043,703.9,7.651086956521738,0,64,33,3,4,13,1106.3,18.0,228.0,251.0,308.0,286.0,264.0,293.0,384.0,390.0,204.0,445.0,543.0,621.0,615.0,614.0,543.0,408.0,541.0,165.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,3.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,6.376726947898627
1362,Vila Velha de Ródão,517.0839833333333,5.620478079710145,9.742391304347825,496.1,5.392391304347826,0,60,35,0,4,13,1474.7,10.5,95.0,94.0,106.0,134.0,151.0,179.0,166.0,175.0,115.0,191.0,216.0,218.0,272.0,306.0,318.0,230.0,390.0,111.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,4.0,8.0,0.0,0.0,5.455321115357702
1363,Sertã,500.2063416666667,5.437025452898551,12.11195652173913,720.5,7.831521739130435,0,60,34,1,4,13,1017.1,33.3,571.0,669.0,747.0,689.0,633.0,706.0,842.0,958.0,532.0,1017.0,1151.0,1176.0,1135.0,1031.0,906.0,772.0,876.0,455.0,1.0,0.0,3.0,5.0,1.0,6.0,5.0,0.0,5.0,8.0,6.0,4.0,25.0,4.0,4.0,0.0,6.633318433280377
1365,Almeida,529.381075,5.754142119565217,12.929347826086955,340.5,3.7010869565217392,0,65,31,0,4,13,1006.4,11.0,141.0,148.0,236.0,195.0,205.0,214.0,267.0,245.0,122.0,373.0,430.0,506.0,502.0,534.0,505.0,430.0,546.0,98.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,5.0,2.0,10.0,3.0,8.0,6.0,1.0,0.0,5.4510384535657
1366,Belmonte,601.7312944444444,6.540557548309178,11.905434782608696,160.1,1.7402173913043475,0,45,44,0,4,13,958.4,52.0,231.0,226.0,280.0,273.0,243.0,344.0,354.0,449.0,215.0,391.0,416.0,555.0,505.0,391.0,365.0,309.0,437.0,194.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,5.0,1.0,2.0,0.0,6.0,3.0,0.0,0.0,6.2166061010848646
1368,Covilhã,453.37533055555554,4.927992723429951,8.390217391304347,885.3,9.622826086956522,0,68,31,1,4,13,1115.6,82.9,1809.0,1995.0,2285.0,2030.0,2150.0,2303.0,2901.0,3263.0,1540.0,3285.0,3341.0,3595.0,3719.0,3426.0,2706.0,1978.0,2303.0,1452.0,1.0,1.0,3.0,4.0,3.0,26.0,4.0,8.0,17.0,26.0,15.0,13.0,64.0,20.0,6.0,2.0,6.654152520183219
1369,Figueira de Castelo Rodrigo,545.0660305555556,5.924630766908213,11.271739130434783,384.5,4.179347826086956,0,59,35,0,4,13,971.1,10.0,188.0,216.0,213.0,169.0,209.0,221.0,275.0,287.0,163.0,306.0,351.0,393.0,410.0,420.0,345.0,330.0,416.0,153.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,7.0,7.0,5.0,5.0,18.0,1.0,1.0,1.0,5.2574953720277815
1370,Fornos de Algodres,536.2362,5.828654347826087,10.865217391304348,563.9,6.129347826086956,0,64,35,0,4,13,938.7,33.3,144.0,186.0,190.0,160.0,189.0,198.0,227.0,256.0,138.0,293.0,328.0,373.0,350.0,298.0,305.0,298.0,317.0,123.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,6.0,2.0,0.0,0.0,5.384495062789089
1371,Fundão,483.2007583333333,5.252182155797102,8.428260869565218,550.7,5.985869565217392,0,61,36,0,4,13,1123.0,38.0,1010.0,1128.0,1224.0,1109.0,1166.0,1417.0,1605.0,1693.0,899.0,1747.0,1871.0,2189.0,2157.0,1954.0,1637.0,1393.0,1595.0,836.0,1.0,1.0,1.0,4.0,3.0,24.0,1.0,4.0,12.0,21.0,9.0,15.0,58.0,12.0,3.0,2.0,6.320768294250582
1372,Gouveia,802.5606916666667,8.723485778985507,10.77391304347826,620.9,6.748913043478261,0,77,64,28,4,13,1022.1,40.3,449.0,465.0,526.0,415.0,458.0,480.0,625.0,731.0,330.0,729.0,916.0,981.0,1080.0,1067.0,889.0,762.0,906.0,306.0,2.0,0.0,3.0,7.0,3.0,9.0,4.0,0.0,10.0,11.0,5.0,4.0,28.0,4.0,2.0,1.0,6.030685260261263
1375,Mêda,536.6824277777778,5.833504649758454,12.294565217391304,372.9,4.053260869565217,0,57,33,0,4,13,937.4,16.0,148.0,177.0,198.0,147.0,189.0,207.0,239.0,263.0,131.0,287.0,334.0,389.0,366.0,403.0,372.0,292.0,338.0,96.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0,5.455321115357702
1378,Seia,514.3556722222222,5.590822524154589,11.52391304347826,681.2,7.404347826086957,2,65,36,0,4,13,1031.0,49.2,760.0,827.0,933.0,855.0,808.0,1034.0,1218.0,1400.0,719.0,1386.0,1601.0,1785.0,1887.0,1804.0,1507.0,1098.0,1233.0,585.0,2.0,0.0,3.0,5.0,3.0,10.0,5.0,0.0,10.0,12.0,8.0,7.0,32.0,13.0,2.0,1.0,6.192362489474872
1379,Trancoso,518.1328277777778,5.6318785628019326,13.532608695652174,620.6,6.745652173913044,0,62,35,0,4,13,1074.5,22.9,263.0,340.0,353.0,298.0,300.0,401.0,453.0,543.0,225.0,551.0,590.0,686.0,702.0,632.0,605.0,525.0,586.0,236.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,5.0,5.0,2.0,2.0,11.0,1.0,1.0,0.0,5.84354441703136
1380,Alcobaça,785.7813472222222,8.541101600241545,14.85108695652174,764.2,8.306521739130435,0,85,62,83,4,13,1130.1,138.0,2417.0,2788.0,3035.0,2970.0,2827.0,3051.0,3636.0,4104.0,2111.0,4327.0,4213.0,4029.0,3821.0,3588.0,2932.0,2162.0,2207.0,2121.0,3.0,3.0,3.0,8.0,9.0,39.0,7.0,12.0,15.0,28.0,13.0,15.0,104.0,12.0,3.0,5.0,6.970730078143525
1382,Arruda dos Vinhos,602.3210138888888,6.546967542270531,14.56086956521739,360.0,3.9130434782608696,0,65,40,3,4,13,1192.3,191.3,920.0,946.0,833.0,765.0,698.0,892.0,1235.0,1365.0,760.0,1123.0,1048.0,822.0,722.0,683.0,572.0,433.0,403.0,690.0,0.0,0.0,0.0,2.0,2.0,8.0,2.0,1.0,2.0,5.0,2.0,2.0,13.0,1.0,1.0,0.0,7.277247726631484
1383,Bombarral,604.2844833333334,6.5683096014492754,14.219565217391304,439.5,4.777173913043479,0,63,41,4,4,13,1061.0,148.4,596.0,665.0,628.0,722.0,711.0,791.0,909.0,913.0,551.0,961.0,948.0,916.0,963.0,961.0,735.0,507.0,515.0,557.0,1.0,0.0,1.0,3.0,0.0,8.0,5.0,0.0,3.0,5.0,3.0,3.0,14.0,4.0,2.0,0.0,6.862757913051401
1384,Cadaval,564.7966166666666,6.13909365942029,13.607608695652177,427.4,4.645652173913043,0,60,35,2,4,13,1104.7,80.4,663.0,663.0,737.0,674.0,594.0,736.0,926.0,1018.0,529.0,1025.0,946.0,958.0,1052.0,940.0,831.0,643.0,659.0,474.0,1.0,0.0,1.0,3.0,1.0,5.0,3.0,0.0,2.0,5.0,2.0,2.0,18.0,4.0,3.0,0.0,6.732210706467206
1386,Lourinhã,609.7808055555555,6.628052234299516,16.94782608695652,412.3,4.481521739130435,1,63,40,8,4,13,1099.0,188.0,1356.0,1426.0,1391.0,1404.0,1392.0,1675.0,1957.0,2179.0,1230.0,1866.0,1837.0,1861.0,1824.0,1751.0,1416.0,1003.0,937.0,1162.0,0.0,0.0,1.0,1.0,0.0,13.0,3.0,1.0,3.0,11.0,2.0,8.0,30.0,2.0,2.0,0.0,7.145196134997171
1387,Nazaré,879.9258,9.564410869565217,7.697826086956522,658.0,7.152173913043479,0,88,74,23,4,13,1138.8,186.2,721.0,695.0,760.0,784.0,775.0,849.0,1081.0,1139.0,640.0,1088.0,1161.0,1027.0,1124.0,1101.0,816.0,568.0,422.0,601.0,2.0,0.0,2.0,2.0,2.0,7.0,3.0,2.0,5.0,7.0,6.0,2.0,26.0,5.0,2.0,0.0,7.533693709848633
1388,Óbidos,601.9478027777777,6.5429108997584535,14.96195652173913,399.0,4.336956521739131,0,62,40,3,4,13,1106.6,90.6,589.0,575.0,666.0,665.0,606.0,722.0,851.0,937.0,503.0,968.0,904.0,944.0,890.0,868.0,674.0,496.0,447.0,522.0,1.0,3.0,1.0,2.0,7.0,20.0,3.0,8.0,12.0,10.0,4.0,3.0,49.0,5.0,1.0,3.0,7.388946097618437
1389,Peniche,607.9791138888888,6.608468629227053,18.090217391304343,444.6,4.832608695652175,2,64,41,8,4,13,1089.4,350.0,1289.0,1388.0,1339.0,1274.0,1385.0,1528.0,1879.0,1995.0,1190.0,1820.0,1865.0,1880.0,1902.0,1740.0,1527.0,1065.0,885.0,1194.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,4.0,5.0,3.0,3.0,22.0,2.0,1.0,2.0,7.264730177929867
1390,Sobral de Monte Agraço,605.0889638888889,6.5770539553140095,15.234782608695651,339.0,3.684782608695652,0,64,39,2,4,13,1101.1,220.1,664.0,651.0,640.0,627.0,590.0,719.0,904.0,1006.0,533.0,875.0,713.0,721.0,605.0,545.0,476.0,335.0,351.0,513.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,9.0,6.0,1.0,0.0,6.937314081223682
1391,Torres Vedras,612.3949805555555,6.656467179951691,16.328260869565216,396.1,4.305434782608696,1,62,42,7,4,13,1146.9,211.5,4131.0,4458.0,4678.0,4662.0,4807.0,5279.0,6152.0,6908.0,3690.0,6460.0,6003.0,5606.0,4968.0,4643.0,4060.0,3007.0,2906.0,3684.0,1.0,0.0,1.0,5.0,4.0,36.0,5.0,1.0,7.0,34.0,6.0,12.0,78.0,9.0,4.0,0.0,7.309212365692763
1392,Abrantes,531.5122888888889,5.777307487922705,11.96195652173913,515.0,5.5978260869565215,0,62,34,0,4,13,1204.7,47.4,1308.0,1606.0,1618.0,1348.0,1259.0,1623.0,1954.0,2445.0,1102.0,2490.0,2621.0,2768.0,2670.0,2416.0,2018.0,1593.0,2004.0,1015.0,1.0,0.0,1.0,5.0,2.0,10.0,7.0,0.0,19.0,22.0,10.0,6.0,47.0,12.0,10.0,1.0,6.309918278226516
1394,Constância,557.8714861111112,6.06382050120773,12.59891304347826,60.8,0.6608695652173914,0,32,32,0,4,13,1291.3,48.2,192.0,229.0,201.0,147.0,188.0,211.0,265.0,324.0,141.0,313.0,280.0,273.0,251.0,216.0,179.0,159.0,163.0,145.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,9.0,5.0,3.0,1.0,7.0,2.0,3.0,0.0,6.539585955617669
1395,Entroncamento,537.6605555555556,5.844136473429952,11.116304347826087,408.9,4.444565217391304,0,60,31,2,4,13,1274.5,1554.7,1150.0,1139.0,1205.0,1117.0,1114.0,1353.0,1515.0,1634.0,1034.0,1606.0,1624.0,1462.0,1136.0,975.0,850.0,754.0,766.0,912.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,12.0,1.0,0.0,1.0,6.742880635791903
1396,Ferreira do Zêzere,518.0132305555555,5.630578592995169,12.733695652173912,630.9,6.857608695652174,0,61,34,0,4,13,1070.0,41.5,319.0,365.0,375.0,362.0,358.0,399.0,470.0,509.0,277.0,530.0,554.0,595.0,606.0,556.0,497.0,400.0,473.0,252.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,6.576469569048224
