Designação,COD (NUTS2024),muni_norm,quarter_label,price_sqm,year,quarter,avg_income_eur,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,temp_max_c_mean,temp_min_c_mean,sunshine_s_sum,wind_kmh_mean,precip_mm_sum,log_price_sqm,pop_10___14,pop_15___19,pop_20___24,pop_25___29,pop_30___34,pop_35___39,pop_40___44,pop_45___49,pop_5___9,pop_50___54,pop_55___59,pop_60___64,pop_65___69,pop_70___74,pop_75___79,pop_80___84,pop_85_ou_mais,pop_menos_de_5,pop_total,population_density_km2
Esposende,1120306,ESPOSENDE,4ºT 2023,1518.0,2023,4,1160.4,1.0,1.0,1.0,2.0,4.0,12.0,1.0,1.0,8.0,11.0,3.0,4.0,32.0,1.0,1.0,0.0,17.99021739130435,11.716304347826089,1922331.32,14.77608695652174,933.6,7.325148957955575,1818.0,1891.0,2106.0,2101.0,2111.0,2297.0,2791.0,3002.0,1620.0,2769.0,2711.0,2576.0,2224.0,1929.0,1588.0,1015.0,1015.0,1565.0,37129.0,389.2
Terras de Bouro,1120310,TERRAS DE BOURO,4ºT 2023,823.0,2023,4,1141.7,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,7.0,4.0,2.0,3.0,18.0,1.0,0.0,0.0,17.13478260869565,9.710869565217392,1795025.13,8.179347826086957,1169.9,6.71295620067707,238.0,316.0,346.0,324.0,284.0,312.0,368.0,417.0,198.0,490.0,486.0,488.0,513.0,428.0,388.0,274.0,341.0,177.0,6388.0,23.0
Vila Verde,1120313,VILA VERDE,4ºT 2023,1083.0,2023,4,1096.1,1.0,0.0,3.0,5.0,6.0,27.0,2.0,4.0,4.0,21.0,6.0,6.0,68.0,1.0,0.0,0.0,17.829347826086956,10.230434782608697,1832921.3,9.23913043478261,1044.7,6.987490247000991,2275.0,2523.0,2867.0,2746.0,2666.0,2897.0,3476.0,3801.0,1984.0,3621.0,3226.0,3323.0,2861.0,2471.0,2141.0,1564.0,1761.0,1947.0,48150.0,210.6
Cabeceiras de Basto,1190304,CABECEIRAS DE BASTO,4ºT 2023,631.0,2023,4,1016.1,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,8.0,6.0,2.0,2.0,17.0,1.0,0.0,0.0,16.418478260869566,9.384782608695652,1797645.31,10.877173913043478,1128.9,6.447305862541213,689.0,890.0,925.0,873.0,839.0,848.0,1014.0,1154.0,596.0,1133.0,1147.0,1188.0,1143.0,782.0,689.0,500.0,657.0,493.0,15560.0,64.3
Fafe,1190307,FAFE,4ºT 2023,969.0,2023,4,1065.0,0.0,0.0,1.0,1.0,1.0,15.0,2.0,3.0,7.0,11.0,3.0,3.0,49.0,1.0,1.0,1.0,16.35217391304348,8.821739130434782,1829684.85,10.819565217391304,1009.8,6.876264611890766,2061.0,2271.0,2655.0,2602.0,2542.0,2721.0,3254.0,3860.0,1806.0,3666.0,3700.0,3619.0,3571.0,2962.0,2473.0,1475.0,1530.0,1746.0,48514.0,221.4
Mondim de Basto,1191705,MONDIM DE BASTO,4ºT 2023,536.0,2023,4,976.2,0.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,4.0,4.0,2.0,1.0,19.0,1.0,0.0,0.0,17.338043478260868,9.689130434782609,1823852.24,9.770652173913044,1055.8,6.284134161070802,240.0,293.0,373.0,335.0,286.0,287.0,346.0,441.0,197.0,490.0,543.0,511.0,540.0,393.0,359.0,287.0,314.0,170.0,6405.0,37.2
Vieira do Minho,1190311,VIEIRA DO MINHO,4ºT 2023,564.0,2023,4,1021.5,0.0,0.0,0.0,2.0,2.0,6.0,1.0,1.0,4.0,6.0,4.0,3.0,14.0,3.0,0.0,0.0,15.806521739130435,9.646739130434783,1750477.94,9.581521739130435,1453.5,6.335054251498059,437.0,506.0,640.0,601.0,562.0,574.0,702.0,817.0,342.0,828.0,924.0,985.0,1039.0,835.0,777.0,489.0,657.0,351.0,12066.0,55.7
Vizela,1190314,VIZELA,4ºT 2023,1073.0,2023,4,1104.9,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,2.0,21.0,3.0,1.0,0.0,17.020652173913046,9.694565217391304,1887120.36,11.284782608695652,945.2,6.9782137426306985,1053.0,1214.0,1406.0,1538.0,1556.0,1553.0,1752.0,1872.0,1060.0,2036.0,1998.0,1743.0,1600.0,1254.0,821.0,548.0,469.0,1056.0,24529.0,993.1
Arouca,11A0104,AROUCA,4ºT 2023,924.0,2023,4,1174.6,2.0,1.0,2.0,6.0,1.0,9.0,5.0,2.0,5.0,10.0,3.0,9.0,58.0,3.0,6.0,0.0,17.01304347826087,10.76086956521739,1956698.34,11.38586956521739,894.2,6.828712071641684,1000.0,1090.0,1139.0,1075.0,1006.0,1147.0,1350.0,1560.0,813.0,1547.0,1533.0,1619.0,1479.0,1283.0,1063.0,700.0,810.0,702.0,20916.0,63.6
Espinho,11A0107,ESPINHO,4ºT 2023,1830.0,2023,4,1244.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.02173913043478,11.929347826086955,1986422.28,14.794565217391304,751.5,7.512071245835466,1226.0,1461.0,1647.0,1735.0,1613.0,1624.0,2024.0,2188.0,1153.0,2282.0,2485.0,2501.0,2499.0,2251.0,1852.0,1365.0,1380.0,1107.0,32393.0,1538.1
Maia,11A1306,MAIA,4ºT 2023,1806.0,2023,4,1524.7,5.0,1.0,2.0,12.0,6.0,68.0,7.0,22.0,14.0,68.0,15.0,25.0,165.0,55.0,10.0,11.0,17.580434782608698,11.546739130434782,1950679.67,14.882608695652175,733.4,7.498869733976931,6991.0,7554.0,8012.0,7699.0,7994.0,8775.0,10487.0,12073.0,6315.0,11738.0,10786.0,9598.0,8290.0,7405.0,5996.0,3711.0,3600.0,5570.0,142594.0,1719.0
Matosinhos,11A1308,MATOSINHOS,4ºT 2023,2491.0,2023,4,1600.8,3.0,4.0,3.0,8.0,9.0,54.0,7.0,22.0,20.0,61.0,13.0,19.0,127.0,44.0,12.0,23.0,18.018478260869564,12.083695652173914,1970270.45,14.93913043478261,710.5,7.820439515262181,7866.0,8484.0,9096.0,9285.0,10376.0,10812.0,12346.0,13790.0,7507.0,13590.0,13080.0,13189.0,12354.0,11215.0,8747.0,5679.0,5344.0,6798.0,179558.0,2876.6
Porto,11A1312,PORTO,4ºT 2023,2866.0,2023,4,1761.4,8.0,11.0,11.0,8.0,20.0,72.0,20.0,39.0,72.0,119.0,36.0,30.0,213.0,53.0,24.0,43.0,17.566304347826087,11.634782608695652,1970270.45,14.93913043478261,710.5,7.960672608388117,10018.0,10492.0,12927.0,15823.0,17720.0,16265.0,15996.0,16946.0,9700.0,15985.0,16323.0,16663.0,15970.0,15027.0,13184.0,9008.0,10734.0,9988.0,248769.0,6006.0
Santa Maria da Feira,11A0109,SANTA MARIA DA FEIRA,4ºT 2023,1214.0,2023,4,1301.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.264130434782608,11.090217391304348,2001806.23,14.419565217391304,741.1,7.101675971619444,6311.0,6766.0,7684.0,7649.0,7706.0,8100.0,9228.0,11224.0,5642.0,10822.0,11107.0,10661.0,9442.0,7755.0,6200.0,4144.0,4071.0,5325.0,139837.0,647.8
Santo Tirso,11A1314,SANTO TIRSO,4ºT 2023,1178.0,2023,4,1264.1,1.0,0.0,2.0,7.0,4.0,20.0,1.0,8.0,6.0,29.0,9.0,10.0,95.0,10.0,3.0,0.0,18.169565217391305,10.931521739130435,1914813.58,12.427173913043475,810.9,7.071573364211532,2575.0,2921.0,3580.0,3608.0,3480.0,3815.0,4424.0,5064.0,2435.0,5086.0,5484.0,5391.0,4861.0,4677.0,3483.0,2360.0,2306.0,2276.0,67826.0,496.7
