Designation,count,mean,std,min,25%,50%,75%,max
Sabrosa,22.0,454.82,79.09,341.0,391.0,453.5,504.75,609.0
Sabugal,22.0,311.59,39.34,247.0,280.75,305.0,332.75,400.0
Salvaterra de Magos,22.0,1109.55,196.97,791.0,957.5,1139.0,1255.75,1486.0
Santa Comba Dão,22.0,545.41,86.77,462.0,488.0,520.5,547.75,763.0
Santa Cruz,22.0,1522.23,363.47,1130.0,1256.5,1406.0,1778.5,2323.0
Santa Cruz da Graciosa,22.0,356.03,189.99,198.0,252.25,281.0,348.5,820.86
Santa Maria da Feira,22.0,1065.0,178.27,814.0,912.5,1038.5,1213.25,1403.0
Santa Marta de Penaguião,22.0,516.02,178.65,383.0,407.25,437.0,510.0,1034.18
Santana,22.0,797.05,156.67,599.0,651.25,771.5,935.75,1081.0
Santarém,22.0,893.23,160.4,682.0,791.5,847.5,984.5,1224.0
Santiago do Cacém,22.0,1295.73,284.05,957.0,1013.0,1230.5,1543.25,1778.0
Santo Tirso,22.0,1009.91,146.14,833.0,867.75,997.0,1163.25,1291.0
Sardoal,22.0,428.32,74.68,298.0,376.5,434.5,473.25,561.0
Seia,22.0,468.64,50.53,358.0,439.25,489.5,513.75,527.0
Seixal,22.0,1675.32,341.2,1146.0,1387.5,1663.5,1975.0,2253.0
Sernancelhe,22.0,289.8,113.66,197.0,223.75,265.0,327.75,737.69
Serpa,22.0,550.27,80.95,434.0,471.75,572.5,609.25,686.0
Sertã,22.0,676.05,93.83,556.0,599.25,653.5,750.25,857.0
Sesimbra,22.0,1799.95,343.03,1324.0,1467.75,1810.5,2089.75,2342.0
Setúbal,22.0,1567.23,314.02,1092.0,1311.5,1549.5,1829.0,2095.0
Sever do Vouga,22.0,591.05,88.49,481.0,504.75,573.5,682.25,740.0
Silves,22.0,1882.55,353.44,1485.0,1515.0,1863.5,2167.5,2489.0
Sines,22.0,1582.82,348.16,1054.0,1327.75,1534.5,1890.25,2099.0
