year,region,scope,education_level,symbol,unit,value
2019,Alcochete,Município,05. Secundário,, euros,3064.4
2019,Alcochete,Município,07. Bacharelato,, euros,1838.8
2019,Alcochete,Município,08. Licenciatura,, euros,1972.5
2019,Alcochete,Município,09. Mestrado,, euros,2030.5
2019,Alcoutim,Município,02. Básico - 1º Ciclo,, euros,759.6
2019,Alcoutim,Município,03. Básico - 2º Ciclo,, euros,743.0
2019,Alcoutim,Município,04. Básico - 3º Ciclo,, euros,763.2
2019,Alcoutim,Município,05. Secundário,, euros,882.9
2019,Alcoutim,Município,08. Licenciatura,, euros,1180.8
2019,Alenquer,Município,01. Inferior ao 1.º ciclo,, euros,833.0
2019,Alenquer,Município,02. Básico - 1º Ciclo,, euros,942.7
2019,Alenquer,Município,03. Básico - 2º Ciclo,, euros,1003.1
2019,Alenquer,Município,04. Básico - 3º Ciclo,, euros,1041.6
2019,Alenquer,Município,05. Secundário,, euros,1123.7
2019,Alenquer,Município,06. Curso técnico superior profissional,, euros,1943.7
2019,Alenquer,Município,07. Bacharelato,, euros,1925.7
2019,Alenquer,Município,08. Licenciatura,, euros,2030.4
2019,Alenquer,Município,09. Mestrado,, euros,2072.0
2019,Alenquer,Município,10. Doutoramento,, euros,1192.5
2019,Alfândega da Fé,Município,02. Básico - 1º Ciclo,, euros,729.2
2019,Alfândega da Fé,Município,03. Básico - 2º Ciclo,, euros,809.9
2019,Alfândega da Fé,Município,04. Básico - 3º Ciclo,, euros,795.1
2019,Alfândega da Fé,Município,05. Secundário,, euros,831.2
2019,Alfândega da Fé,Município,07. Bacharelato,, euros,1431.7
2019,Alfândega da Fé,Município,08. Licenciatura,, euros,1234.4
2019,Alijó,Município,01. Inferior ao 1.º ciclo,, euros,759.0
2019,Alijó,Município,02. Básico - 1º Ciclo,, euros,803.6
2019,Alijó,Município,03. Básico - 2º Ciclo,, euros,794.0
2019,Alijó,Município,04. Básico - 3º Ciclo,, euros,824.5
2019,Alijó,Município,05. Secundário,, euros,870.0
2019,Alijó,Município,07. Bacharelato,, euros,1503.6
2019,Alijó,Município,08. Licenciatura,, euros,1390.6
2019,Alijó,Município,09. Mestrado,, euros,1499.3
2019,Aljezur,Município,02. Básico - 1º Ciclo,, euros,743.1
2019,Aljezur,Município,03. Básico - 2º Ciclo,, euros,792.0
2019,Aljezur,Município,04. Básico - 3º Ciclo,, euros,801.6
2019,Aljezur,Município,05. Secundário,, euros,885.7
2019,Aljezur,Município,07. Bacharelato,, euros,913.1
2019,Aljezur,Município,08. Licenciatura,, euros,1185.3
2019,Aljezur,Município,09. Mestrado,, euros,1227.6
2019,Aljustrel,Município,01. Inferior ao 1.º ciclo,, euros,738.2
2019,Aljustrel,Município,02. Básico - 1º Ciclo,, euros,984.3
2019,Aljustrel,Município,03. Básico - 2º Ciclo,, euros,1114.1
2019,Aljustrel,Município,04. Básico - 3º Ciclo,, euros,1121.3
2019,Aljustrel,Município,05. Secundário,, euros,1036.3
2019,Aljustrel,Município,07. Bacharelato,, euros,1985.9
2019,Aljustrel,Município,08. Licenciatura,, euros,1884.2
2019,Aljustrel,Município,09. Mestrado,, euros,1688.1
2019,Almada,Município,01. Inferior ao 1.º ciclo,, euros,763.9
2019,Almada,Município,02. Básico - 1º Ciclo,, euros,829.3
2019,Almada,Município,03. Básico - 2º Ciclo,, euros,873.4
2019,Almada,Município,04. Básico - 3º Ciclo,, euros,893.9
2019,Almada,Município,05. Secundário,, euros,997.2
2019,Almada,Município,06. Curso técnico superior profissional,, euros,1096.7
2019,Almada,Município,07. Bacharelato,, euros,1708.3
2019,Almada,Município,08. Licenciatura,, euros,1824.6
2019,Almada,Município,09. Mestrado,, euros,1981.9
2019,Almada,Município,10. Doutoramento,, euros,2813.3
2019,Almeida,Município,01. Inferior ao 1.º ciclo,, euros,647.2
2019,Almeida,Município,02. Básico - 1º Ciclo,, euros,724.6
2019,Almeida,Município,03. Básico - 2º Ciclo,, euros,785.1
2019,Almeida,Município,04. Básico - 3º Ciclo,, euros,758.2
2019,Almeida,Município,05. Secundário,, euros,903.4
2019,Almeida,Município,07. Bacharelato,, euros,1038.5
2019,Almeida,Município,08. Licenciatura,, euros,1133.3
2019,Almeida,Município,09. Mestrado,, euros,1065.3
2019,Almeirim,Município,01. Inferior ao 1.º ciclo,, euros,797.6
2019,Almeirim,Município,02. Básico - 1º Ciclo,, euros,778.2
2019,Almeirim,Município,03. Básico - 2º Ciclo,, euros,850.6
2019,Almeirim,Município,04. Básico - 3º Ciclo,, euros,874.8
2019,Almeirim,Município,05. Secundário,, euros,937.1
2019,Almeirim,Município,07. Bacharelato,, euros,1430.3
2019,Almeirim,Município,08. Licenciatura,, euros,1411.6
2019,Almeirim,Município,09. Mestrado,, euros,1142.2
2019,Almodôvar,Município,01. Inferior ao 1.º ciclo,, euros,719.4
2019,Almodôvar,Município,02. Básico - 1º Ciclo,, euros,758.1
2019,Almodôvar,Município,03. Básico - 2º Ciclo,, euros,787.5
2019,Almodôvar,Município,04. Básico - 3º Ciclo,, euros,857.3
2019,Almodôvar,Município,05. Secundário,, euros,892.5
2019,Almodôvar,Município,07. Bacharelato,, euros,1109.7
2019,Almodôvar,Município,08. Licenciatura,, euros,1324.0
