municipality,house_price,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,windy_days,rainy_days,sunny_days,warm_days,year,quarter_num,quarter_ord,avg_income,people/km2,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,log_price_sqm,< 5,5 - 19,20 - 34,35 - 54,55 - 64,> 65,urban_cluster
Póvoa de Lanhoso,918.0,453.7257722222223,4.931801871980676,11.105434782608697,1359.9,14.781521739130437,0,70,27,1,2022,4,13,970.7,165.7,0.0,0.0,1.0,2.0,1.0,11.0,1.0,2.0,2.0,5.0,1.0,2.0,18.0,0.0,1.0,1.0,6.822197390620491,808.0,3086.0,3672.0,6108.0,3460.0,5177.0,3
Vieira do Minho,608.0,428.0155,4.652342391304348,10.456521739130435,1727.4,18.77608695652174,0,72,27,0,2022,4,13,943.9,55.4,0.0,0.0,0.0,2.0,2.0,6.0,1.0,1.0,4.0,6.0,4.0,3.0,14.0,3.0,0.0,0.0,6.410174881966167,339.0,1308.0,1751.0,2940.0,1979.0,3663.0,3
Vila Nova de Famalicão,1136.0,467.8317666666667,5.0851278985507244,12.845652173913043,1154.2,12.545652173913044,0,71,27,1,2022,4,13,1257.8,670.0,0.0,1.0,2.0,9.0,6.0,50.0,6.0,15.0,17.0,46.0,12.0,12.0,132.0,14.0,7.0,2.0,7.035268599281097,5526.0,18554.0,23228.0,39631.0,20110.0,28019.0,0
Vizela,969.0,489.70703333333336,5.322902536231885,13.251086956521736,1075.9,11.694565217391306,0,71,26,3,2022,4,13,1043.7,983.7,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,2.0,21.0,3.0,1.0,0.0,6.876264611890766,1074.0,3300.0,4522.0,7235.0,3687.0,4479.0,3
Arouca,816.0,505.6811305555556,5.496534027777778,12.680434782608694,1039.4,11.297826086956524,0,67,28,1,2022,4,13,1091.2,63.6,2.0,1.0,2.0,6.0,1.0,9.0,5.0,2.0,5.0,10.0,3.0,9.0,58.0,3.0,6.0,0.0,6.704414354964107,718.0,2961.0,3204.0,5689.0,3173.0,5197.0,0
Gondomar,1479.0,501.91166111111113,5.455561533816425,13.210869565217392,1054.4,11.460869565217392,0,67,27,1,2022,4,13,1141.0,1267.8,2.0,2.0,2.0,11.0,3.0,74.0,6.0,7.0,12.0,46.0,17.0,20.0,188.0,30.0,10.0,1.0,7.2991214627108,6538.0,22615.0,27867.0,47651.0,25403.0,37177.0,2
Maia,1613.0,502.14145,5.458059239130435,16.194565217391304,1000.4,10.87391304347826,4,66,28,2,2022,4,13,1430.5,1691.8,5.0,1.0,2.0,12.0,6.0,68.0,7.0,22.0,14.0,68.0,15.0,25.0,165.0,55.0,10.0,11.0,7.385851078125209,5714.0,20767.0,23077.0,42994.0,19764.0,28016.0,2
Matosinhos,2089.0,517.4558194444445,5.6245197765700485,15.875,1044.1,11.34891304347826,3,67,28,4,2022,4,13,1536.5,2837.9,3.0,4.0,3.0,8.0,9.0,54.0,7.0,22.0,20.0,61.0,13.0,19.0,127.0,44.0,12.0,23.0,7.644440761556566,6892.0,23548.0,28286.0,50328.0,26070.0,42019.0,2
Oliveira de Azeméis,921.0,472.2955055555556,5.133646799516908,12.951086956521738,1249.2,13.578260869565218,0,69,28,2,2022,4,13,1272.6,415.1,4.0,1.0,8.0,9.0,5.0,38.0,7.0,6.0,12.0,27.0,6.0,21.0,108.0,12.0,12.0,3.0,6.825460036255307,2386.0,8438.0,10694.0,18663.0,10595.0,16093.0,0
Paredes,1005.0,586.1182194444444,6.370850211352657,12.9,267.7,2.909782608695652,0,54,42,0,2022,4,13,1059.1,544.7,0.0,0.0,1.0,9.0,2.0,29.0,3.0,4.0,4.0,18.0,7.0,9.0,89.0,14.0,5.0,2.0,6.912742820493176,3555.0,13082.0,15429.0,25970.0,12664.0,14685.0,0
Porto,2568.0,517.4558194444445,5.6245197765700485,15.875,1044.1,11.34891304347826,3,67,28,1,2022,4,13,1628.7,5867.1,8.0,11.0,11.0,8.0,20.0,72.0,20.0,39.0,72.0,119.0,36.0,30.0,213.0,53.0,24.0,43.0,7.850882664809852,9676.0,29477.0,45569.0,63002.0,32628.0,62664.0,1
Póvoa de Varzim,1641.0,502.11687222222224,5.4577920893719805,15.908695652173911,1085.2,11.795652173913044,5,67,29,4,2022,4,13,1134.2,806.0,0.0,0.0,0.0,3.0,5.0,22.0,4.0,8.0,6.0,14.0,5.0,2.0,49.0,4.0,3.0,3.0,7.403061091090091,2599.0,9706.0,11402.0,19113.0,9357.0,14082.0,3
Santo Tirso,986.0,479.7904333333333,5.215113405797101,13.73913043478261,1074.7,11.681521739130435,0,70,28,2,2022,4,13,1161.4,495.8,1.0,0.0,2.0,7.0,4.0,20.0,1.0,8.0,6.0,29.0,9.0,10.0,95.0,10.0,3.0,0.0,6.893656354602635,2338.0,8018.0,10623.0,18646.0,10767.0,17313.0,0
São João da Madeira,1054.0,486.6107861111111,5.289247675120773,13.942391304347826,1191.7,12.953260869565218,1,69,28,2,2022,4,13,1212.6,2940.6,2.0,0.0,1.0,3.0,2.0,7.0,1.0,3.0,2.0,6.0,2.0,5.0,26.0,4.0,4.0,0.0,6.960347729101308,833.0,3118.0,3960.0,6616.0,3531.0,5290.0,3
Vale de Cambra,1030.0,486.6107861111111,5.289247675120773,13.942391304347826,1191.7,12.953260869565218,1,69,28,1,2022,4,13,1261.4,144.2,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,7.0,2.0,3.0,48.0,2.0,5.0,0.0,6.937314081223682,703.0,2475.0,3057.0,5666.0,3174.0,6169.0,3
Valongo,1391.0,501.91166111111113,5.455561533816425,13.210869565217392,1054.4,11.460869565217392,0,67,27,1,2022,4,13,1229.6,1310.0,3.0,2.0,1.0,5.0,4.0,38.0,2.0,4.0,6.0,26.0,11.0,8.0,101.0,18.0,7.0,1.0,7.237778191923443,4120.0,14095.0,17041.0,29669.0,13704.0,19781.0,0
Vila do Conde,1586.0,502.11687222222224,5.4577920893719805,15.908695652173911,1085.2,11.795652173913044,5,67,29,4,2022,4,13,1267.1,560.5,1.0,0.0,1.0,6.0,6.0,21.0,5.0,9.0,13.0,30.0,11.0,8.0,84.0,18.0,8.0,5.0,7.368970402194793,3496.0,12295.0,13467.0,24902.0,11875.0,17497.0,0
Vila Nova de Gaia,1648.0,517.4558194444445,5.6245197765700485,15.875,1044.1,11.34891304347826,3,67,28,1,2022,4,13,1305.7,1831.5,6.0,4.0,6.0,10.0,9.0,73.0,17.0,25.0,49.0,80.0,24.0,20.0,207.0,38.0,16.0,15.0,7.4073177104694174,12272.0,42402.0,50431.0,89221.0,45617.0,68598.0,2
Chaves,916.0,462.15288888888887,5.023400966183575,7.988043478260869,479.5,5.211956521739131,0,67,32,0,2022,4,13,1094.2,63.1,1.0,1.0,2.0,4.0,3.0,13.0,2.0,1.0,9.0,17.0,7.0,6.0,35.0,3.0,0.0,1.0,6.82001636467413,1053.0,4245.0,4664.0,9016.0,5892.0,12456.0,3
Montalegre,581.0,429.2049388888889,4.665271074879227,11.81086956521739,1269.0,13.793478260869565,0,70,24,0,2022,4,13,978.1,11.3,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,7.0,8.0,4.0,4.0,13.0,2.0,1.0,0.0,6.364750756851911,224.0,762.0,1017.0,1893.0,1543.0,3700.0,3
Ribeira de Pena,403.0,456.9039666666667,4.966347463768116,8.945652173913043,1064.5,11.570652173913045,0,68,27,0,2022,4,13,1140.2,26.8,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,9.0,0.0,0.0,0.0,5.998936561946683,168.0,679.0,756.0,1375.0,975.0,1883.0,3
Valpaços,469.0,513.1946666666666,5.578202898550725,6.202173913043478,428.1,4.653260869565218,0,60,35,0,2022,4,13,931.0,26.5,1.0,1.0,3.0,5.0,5.0,16.0,3.0,1.0,11.0,25.0,10.0,6.0,44.0,4.0,1.0,2.0,6.150602768446279,360.0,1376.0,1540.0,2965.0,2349.0,5967.0,0
Vila Pouca de Aguiar,625.0,479.30463333333336,5.209832971014493,10.331521739130435,667.7,7.257608695652174,0,67,30,0,2022,4,13,978.1,26.9,0.0,0.0,1.0,2.0,0.0,8.0,1.0,0.0,2.0,4.0,3.0,3.0,11.0,1.0,1.0,0.0,6.437751649736401,287.0,1145.0,1509.0,2552.0,2089.0,4171.0,3
Castelo de Paiva,917.0,516.2948638888889,5.6119006944444445,12.27391304347826,926.9,10.075,0,68,28,2,2022,4,13,967.0,133.8,0.0,0.0,1.0,2.0,2.0,12.0,1.0,0.0,2.0,6.0,2.0,4.0,26.0,0.0,3.0,0.0,6.821107472256465,480.0,2116.0,2611.0,4330.0,2498.0,3357.0,3
Celorico de Basto,632.0,473.82741111111113,5.150297946859904,10.645652173913044,1045.8,11.367391304347825,0,69,27,0,2022,4,13,941.5,97.1,0.0,0.0,1.0,2.0,1.0,16.0,4.0,1.0,5.0,9.0,2.0,2.0,30.0,3.0,0.0,0.0,6.448889394146858,568.0,2330.0,2792.0,4709.0,2805.0,4371.0,3
Cinfães,466.0,493.61872222222223,5.365420893719807,10.554347826086955,960.7,10.442391304347826,0,71,33,0,2022,4,13,988.4,73.4,0.0,0.0,1.0,3.0,5.0,6.0,0.0,0.0,1.0,9.0,5.0,2.0,47.0,1.0,3.0,0.0,6.144185634125646,607.0,2258.0,2628.0,4669.0,2788.0,4610.0,3
Felgueiras,848.0,473.82741111111113,5.150297946859904,10.645652173913044,1045.8,11.367391304347825,0,69,27,0,2022,4,13,1020.7,478.8,0.0,0.0,1.0,2.0,1.0,16.0,3.0,2.0,1.0,13.0,3.0,4.0,62.0,2.0,1.0,1.0,6.742880635791903,2159.0,7621.0,10315.0,16023.0,8632.0,10666.0,3
Lousada,897.0,483.2486916666667,5.252703170289856,11.423913043478262,1071.6,11.64782608695652,0,68,26,0,2022,4,13,984.9,498.9,0.0,0.0,1.0,2.0,2.0,11.0,1.0,0.0,1.0,7.0,1.0,1.0,52.0,5.0,0.0,0.0,6.799055862058796,2090.0,7187.0,9256.0,14461.0,7115.0,7822.0,3
Marco de Canaveses,860.0,508.3802194444445,5.525871950483092,10.016304347826088,925.3,10.057608695652174,0,70,30,0,2022,4,13,989.4,245.0,2.0,0.0,3.0,5.0,6.0,23.0,2.0,3.0,3.0,13.0,7.0,3.0,109.0,13.0,2.0,1.0,6.756932389247553,1753.0,7291.0,8917.0,14370.0,7664.0,9465.0,0
Paços de Ferreira,965.0,491.892475,5.346657336956522,13.191304347826089,1095.6,11.908695652173911,0,68,26,0,2022,4,13,1012.8,787.2,1.0,0.0,1.0,2.0,0.0,7.0,0.0,2.0,3.0,7.0,3.0,3.0,36.0,2.0,1.0,0.0,6.872128101338986,2295.0,8225.0,10679.0,16739.0,8383.0,9561.0,3
Resende,408.0,798.3209166666667,8.677401268115942,5.902173913043479,672.4,7.308695652173912,0,76,62,31,2022,4,13,915.9,79.9,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,11.0,5.0,3.0,0.0,6.0112671744041615,314.0,1256.0,1474.0,2622.0,1603.0,2591.0,3
Alijó,600.0,498.69284444444446,5.420574396135266,7.916304347826086,600.2,6.523913043478261,0,65,30,0,2022,4,13,1026.1,34.8,0.0,0.0,1.0,5.0,2.0,6.0,1.0,0.0,1.0,7.0,3.0,3.0,22.0,3.0,4.0,0.0,6.396929655216146,273.0,1097.0,1318.0,2438.0,1735.0,3501.0,3
Armamar,203.0,485.5692944444445,5.27792711352657,8.298913043478262,483.8,5.258695652173913,0,64,32,0,2022,4,13,1007.0,48.6,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,5.313205979041787,144.0,643.0,821.0,1362.0,991.0,1732.0,3
Carrazeda de Ansiães,361.0,506.8977,5.509757608695652,7.852173913043478,509.6,5.539130434782609,0,61,27,0,2022,4,13,955.9,19.3,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,3.0,2.0,1.0,9.0,6.0,0.0,0.0,5.8888779583328805,133.0,542.0,624.0,1223.0,807.0,2067.0,3
Mesão Frio,536.0,492.9326638888889,5.357963737922705,6.055434782608696,536.6,5.832608695652175,0,63,33,0,2022,4,13,1086.4,131.9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,7.0,4.0,0.0,0.0,6.284134161070802,100.0,396.0,529.0,884.0,594.0,1011.0,3
Murça,485.0,508.4233361111111,5.526340609903381,7.960869565217391,412.5,4.483695652173913,0,64,32,0,2022,4,13,1026.8,27.6,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,15.0,1.0,3.0,0.0,6.184148890937483,110.0,524.0,679.0,1146.0,885.0,1879.0,3
Sabrosa,423.0,498.69284444444446,5.420574396135266,7.916304347826086,600.2,6.523913043478261,0,65,30,0,2022,4,13,1107.9,35.7,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,2.0,2.0,21.0,3.0,1.0,0.0,6.0473721790462776,160.0,609.0,773.0,1343.0,835.0,1878.0,3
Santa Marta de Penaguião,408.0,503.30831666666666,5.470742572463768,6.714130434782609,547.1,5.946739130434783,0,61,31,0,2022,4,13,941.9,86.5,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,22.0,0.0,1.0,0.0,6.0112671744041615,144.0,627.0,815.0,1457.0,1006.0,1944.0,3
Tabuaço,443.0,507.5191916666666,5.516512952898551,8.886956521739132,465.7,5.0619565217391305,0,58,32,0,2022,4,13,1074.4,37.7,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,6.093569770045136,149.0,520.0,713.0,1165.0,848.0,1648.0,3
Tarouca,626.0,477.0921166666666,5.185783876811594,11.955434782608696,544.7,5.920652173913044,0,63,32,0,2022,4,13,966.0,74.7,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,5.0,1.0,2.0,9.0,0.0,0.0,0.0,6.439350371100098,250.0,1025.0,1121.0,1985.0,1204.0,1893.0,3
Torre de Moncorvo,358.0,530.9709722222223,5.771423611111112,6.590217391304347,410.9,4.466304347826087,0,60,33,0,2022,4,13,960.2,12.7,2.0,0.0,2.0,4.0,0.0,13.0,2.0,0.0,9.0,8.0,6.0,4.0,14.0,3.0,4.0,1.0,5.8805329864007,192.0,575.0,750.0,1403.0,1059.0,2764.0,3
Vila Nova de Foz Côa,357.0,530.5037666666667,5.766345289855073,7.585869565217391,377.0,4.0978260869565215,0,58,33,0,2022,4,13,1033.4,15.9,3.0,0.0,3.0,3.0,0.0,5.0,3.0,0.0,9.0,7.0,4.0,9.0,9.0,6.0,4.0,1.0,5.877735781779639,172.0,596.0,802.0,1454.0,993.0,2301.0,3
Vila Real,1198.0,671.477275,7.298666032608695,8.109782608695653,135.5,1.4728260869565215,0,34,55,3,2022,4,13,1219.8,131.1,4.0,6.0,21.0,33.0,17.0,91.0,25.0,11.0,66.0,103.0,47.0,51.0,302.0,35.0,19.0,4.0,7.088408778675395,1746.0,6651.0,7360.0,14178.0,7627.0,12100.0,5
Alfândega da Fé,407.0,510.03765,5.543887499999999,7.746739130434783,418.5,4.548913043478261,0,60,32,0,2022,4,13,968.4,13.2,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,6.008813185442595,129.0,384.0,557.0,857.0,718.0,1600.0,3
Bragança,850.0,501.414625,5.450158967391304,10.494565217391305,493.4,5.363043478260869,0,63,33,0,2022,4,13,1144.2,29.9,4.0,0.0,8.0,18.0,11.0,42.0,14.0,1.0,53.0,64.0,36.0,27.0,155.0,21.0,12.0,7.0,6.745236349484363,1268.0,4027.0,5701.0,9057.0,4975.0,10008.0,2
Mirandela,783.0,508.9733305555556,5.5323188103864736,6.089130434782609,413.7,4.496739130434783,0,59,34,0,2022,4,13,1062.4,32.4,0.0,0.0,2.0,3.0,3.0,12.0,2.0,0.0,4.0,12.0,5.0,4.0,24.0,2.0,0.0,1.0,6.663132695990803,613.0,2393.0,2965.0,5167.0,3178.0,7005.0,3
Mogadouro,418.0,522.9643638888889,5.684395259661836,11.420652173913044,352.4,3.830434782608696,0,59,34,0,2022,4,13,980.7,10.9,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,2.0,6.0,4.0,4.0,16.0,1.0,1.0,0.0,6.035481432524756,196.0,759.0,961.0,1784.0,1370.0,3190.0,3
Vila Flor,347.0,516.0158833333334,5.608868297101449,7.314130434782609,418.9,4.553260869565217,0,58,32,0,2022,4,13,1014.3,22.7,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,10.0,0.0,1.0,0.0,5.849324779946859,175.0,594.0,755.0,1442.0,895.0,2167.0,3
Vinhais,427.0,459.10374722222224,4.990258121980676,10.664130434782608,559.7,6.083695652173914,0,62,31,0,2022,4,13,924.7,10.8,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,2.0,2.0,11.0,0.0,1.0,0.0,6.056784013228625,164.0,543.0,682.0,1499.0,1235.0,3390.0,3
Albergaria-a-Velha,970.0,491.6764694444444,5.344309450483092,12.145652173913044,1114.6,12.115217391304348,0,67,30,4,2022,4,13,1256.1,159.5,1.0,0.0,2.0,4.0,1.0,32.0,3.0,3.0,6.0,22.0,6.0,15.0,75.0,15.0,6.0,2.0,6.877296071497429,976.0,3492.0,4067.0,7254.0,3669.0,5866.0,0
Aveiro,1613.0,536.2126805555556,5.828398701690822,14.36304347826087,818.7,8.898913043478261,0,66,32,3,2022,4,13,1406.6,424.1,1.0,1.0,5.0,8.0,3.0,38.0,4.0,10.0,14.0,41.0,12.0,22.0,120.0,14.0,7.0,8.0,7.385851078125209,3473.0,11409.0,14504.0,24735.0,11453.0,18227.0,0
Estarreja,857.0,503.63829444444445,5.474329287439613,12.748913043478264,1067.5,11.603260869565217,0,66,31,4,2022,4,13,1383.1,246.4,0.0,0.0,1.0,2.0,1.0,5.0,2.0,0.0,5.0,5.0,3.0,4.0,27.0,5.0,1.0,0.0,6.75343791859778,1079.0,3607.0,4215.0,7163.0,4008.0,6584.0,3
Ílhavo,1450.0,539.4543944444445,5.863634722222223,13.154347826086957,809.2,8.795652173913044,0,68,33,3,2022,4,13,1313.0,557.1,1.0,1.0,4.0,4.0,2.0,21.0,4.0,6.0,13.0,27.0,9.0,10.0,75.0,4.0,6.0,8.0,7.27931883541462,1777.0,5784.0,6586.0,11921.0,5889.0,8981.0,0
Murtosa,1045.0,532.612525,5.789266576086956,15.543478260869565,868.0,9.434782608695652,3,69,30,3,2022,4,13,1039.7,146.7,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,3.0,11.0,0.0,0.0,0.0,6.951772164398911,435.0,1546.0,1713.0,2918.0,1466.0,2645.0,3
Oliveira do Bairro,922.0,518.8383277777777,5.6395470410628015,11.98695652173913,740.8,8.052173913043477,0,69,31,3,2022,4,13,1211.4,277.7,0.0,0.0,0.0,1.0,2.0,9.0,2.0,0.0,4.0,5.0,3.0,3.0,39.0,3.0,0.0,0.0,6.826545223556594,1046.0,3521.0,3958.0,7089.0,2949.0,5686.0,3
Ovar,1241.0,431.8509472222222,4.694032035024154,8.456521739130435,118.8,1.2913043478260868,0,45,20,0,2022,4,13,1259.6,378.4,3.0,0.0,4.0,4.0,4.0,32.0,6.0,5.0,11.0,30.0,9.0,23.0,92.0,15.0,12.0,0.0,7.123672785204607,2228.0,7493.0,9187.0,16119.0,8343.0,12517.0,0
Sever do Vouga,487.0,482.9102333333333,5.249024275362319,12.27608695652174,1216.5,13.222826086956522,0,70,30,0,2022,4,13,1215.4,84.0,0.0,1.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,6.0,1.0,4.0,21.0,1.0,4.0,0.0,6.18826412308259,341.0,1289.0,1463.0,2849.0,1650.0,3323.0,3
Vagos,1162.0,540.3737555555556,5.873627777777778,12.542391304347827,799.1,8.685869565217391,0,67,34,3,2022,4,13,1173.5,143.9,0.0,0.0,1.0,3.0,1.0,12.0,0.0,1.0,0.0,5.0,2.0,4.0,33.0,0.0,0.0,0.0,7.057897937411856,1041.0,3275.0,3830.0,6529.0,3284.0,5769.0,3
Cantanhede,803.0,542.5781722222222,5.897588828502415,12.879347826086958,689.3,7.492391304347826,0,66,36,3,2022,4,13,1175.2,88.1,0.0,0.0,1.0,3.0,3.0,25.0,2.0,1.0,5.0,18.0,7.0,7.0,67.0,0.0,1.0,0.0,6.688354713946762,1255.0,4207.0,4666.0,8943.0,4842.0,10533.0,3
Coimbra,1664.0,537.1893222222222,5.839014371980676,12.610869565217392,681.8,7.410869565217391,0,63,35,3,2022,4,13,1331.2,447.1,3.0,4.0,13.0,5.0,13.0,58.0,13.0,16.0,22.0,50.0,12.0,30.0,133.0,17.0,10.0,18.0,7.416979621381154,5417.0,17836.0,23037.0,38880.0,20686.0,36957.0,2
