region,quarter,temperature_2m_mean,precipitation_sum,sunshine_duration,windspeed_10m_mean
Norte,2019Q1,7.94,260.8,2574408.01,9.866666666666667
Norte,2019Q2,13.502197802197802,367.8,3463017.97,9.482417582417582
Norte,2019Q3,19.12608695652174,105.7,3747818.36,8.069565217391304
Norte,2019Q4,10.657608695652174,989.3,1844647.58,10.970652173913043
Norte,2020Q1,8.982417582417582,399.6,2348701.24,10.001098901098901
Norte,2020Q2,14.892307692307693,310.3,3387697.87,8.332967032967032
Norte,2020Q3,20.49891304347826,86.4,3881265.28,8.479347826086956
Norte,2020Q4,10.446739130434782,521.6,2063932.77,10.01304347826087
Norte,2021Q1,8.23111111111111,537.4,2289954.8,10.668888888888889
Norte,2021Q2,14.240659340659342,318.8,3654463.4,8.62087912087912
Norte,2021Q3,18.66521739130435,130.4,3748282.24,7.789130434782609
Norte,2021Q4,10.817391304347826,385.4,2335431.31,9.784782608695652
Norte,2022Q1,8.394444444444444,192.3,2439757.98,9.75
Norte,2022Q2,14.93956043956044,253.1,3534520.49,9.117582417582419
Norte,2022Q3,20.64021739130435,165.3,3872115.38,8.130434782608695
Norte,2022Q4,12.184782608695652,1065.2,1775403.3800000001,10.617391304347825
Norte,2023Q1,7.99,416.1,2443118.71,10.514444444444443
Norte,2023Q2,16.034065934065932,238.6,3629211.75,8.552747252747253
Norte,2023Q3,19.25108695652174,180.20000000000002,3804128.46,7.98695652173913
Norte,2023Q4,11.402173913043478,940.5,1871967.98,10.764130434782608
Norte,2024Q1,8.982417582417582,787.1,2101474.27,11.07032967032967
Norte,2024Q2,14.562637362637362,255.5,3473073.62,9.820879120879122
Norte,2024Q3,19.769565217391303,122.6,3743637.89,8.195652173913043
Norte,2024Q4,11.347826086956522,477.5,2173249.57,9.542391304347825
Norte,2025Q1,8.546666666666667,649.4,2132163.91,9.96888888888889
Centro,2019Q1,10.33,164.2,2619961.5,10.987777777777778
Centro,2019Q2,15.842857142857143,266.3,3485833.5100000002,10.87142857142857
Centro,2019Q3,21.1,58.8,3689830.23,9.951086956521738
Centro,2019Q4,13.13695652173913,527.0,2065237.76,11.659782608695652
Centro,2020Q1,11.231868131868133,236.8,2394256.92,10.527472527472527
Centro,2020Q2,16.678021978021977,271.1,3494127.79,9.397802197802198
Centro,2020Q3,22.13804347826087,72.2,3865633.28,9.680434782608696
Centro,2020Q4,12.833695652173914,411.6,2281942.52,10.58695652173913
Centro,2021Q1,10.645555555555555,371.9,2363077.59,11.713333333333335
Centro,2021Q2,16.3,233.70000000000002,3586249.07,9.406593406593407
Centro,2021Q3,20.669565217391302,78.0,3772427.6,9.792391304347825
Centro,2021Q4,13.444565217391306,300.1,2356535.59,10.904347826086957
Centro,2022Q1,10.746666666666668,148.6,2593609.18,10.71888888888889
Centro,2022Q2,17.3989010989011,179.3,3624421.63,10.75164835164835
Centro,2022Q3,22.527173913043477,101.1,3831054.21,9.939130434782609
Centro,2022Q4,14.65,690.2,1898965.89,10.227173913043478
Centro,2023Q1,10.36111111111111,322.59999999999997,2575504.36,11.292222222222222
Centro,2023Q2,18.32967032967033,183.7,3630220.18,9.99010989010989
Centro,2023Q3,21.422826086956523,121.8,3777142.3,9.455434782608695
Centro,2023Q4,13.867391304347825,489.2,2077353.42,9.935869565217391
Centro,2024Q1,11.587912087912088,490.59999999999997,2262872.08,11.24065934065934
Centro,2024Q2,16.72967032967033,255.5,3536533.59,10.531868131868132
Centro,2024Q3,21.120652173913044,50.099999999999994,3698077.9,9.967391304347826
Centro,2024Q4,13.829347826086956,350.1,2337247.44,9.904347826086957
Centro,2025Q1,10.776666666666667,608.7,2244019.96,9.455555555555556
Área Metropolitana de Lisboa,2019Q1,12.168888888888889,69.3,2805340.73,12.23777777777778
Área Metropolitana de Lisboa,2019Q2,18.195604395604395,96.10000000000001,3681339.34,15.865934065934065
Área Metropolitana de Lisboa,2019Q3,22.506521739130434,18.9,3856473.16,15.01304347826087
Área Metropolitana de Lisboa,2019Q4,15.48695652173913,247.3,2386717.5,14.491304347826087
Área Metropolitana de Lisboa,2020Q1,13.009890109890112,85.3,2617732.09,12.096703296703296
Área Metropolitana de Lisboa,2020Q2,18.44065934065934,228.1,3785623.53,14.0010989010989
Área Metropolitana de Lisboa,2020Q3,23.446739130434782,27.7,3939450.67,14.653260869565216
Área Metropolitana de Lisboa,2020Q4,14.981521739130434,200.7,2424869.51,12.501086956521737
Área Metropolitana de Lisboa,2021Q1,12.416666666666666,236.1,2490010.41,13.303333333333333
Área Metropolitana de Lisboa,2021Q2,18.043956043956044,130.0,3909045.13,14.2010989010989
Área Metropolitana de Lisboa,2021Q3,22.132608695652173,66.7,3948037.7,15.494565217391305
Área Metropolitana de Lisboa,2021Q4,15.646739130434783,135.29999999999998,2677522.3,12.59891304347826
Área Metropolitana de Lisboa,2022Q1,12.71,139.7,2685027.01,11.833333333333334
Área Metropolitana de Lisboa,2022Q2,18.934065934065934,66.0,3862949.21,15.65824175824176
Área Metropolitana de Lisboa,2022Q3,23.266304347826086,77.4,3844220.18,13.658695652173913
Área Metropolitana de Lisboa,2022Q4,16.746739130434783,391.9,2239123.69,13.243478260869566
Área Metropolitana de Lisboa,2023Q1,12.31,90.3,2741250.42,11.946666666666667
Área Metropolitana de Lisboa,2023Q2,20.324175824175825,65.5,3947133.52,14.958241758241758
Área Metropolitana de Lisboa,2023Q3,22.872826086956525,27.4,3921501.01,15.256521739130434
Área Metropolitana de Lisboa,2023Q4,15.92608695652174,214.7,2337121.7600000002,11.502173913043478
Área Metropolitana de Lisboa,2024Q1,13.728571428571428,250.7,2548327.03,13.654945054945054
