year,region,scope,education_level,symbol,unit,value
2019,Horta,Município,Total,, euros,1125.8
2019,Idanha-a-Nova,Município,Total,, euros,906.7
2019,Ílhavo,Município,Total,, euros,1148.9
2019,Lagoa,Município,Total,, euros,1029.4
2019,Lagoa [R.A.A.],Município,Total,, euros,941.9
2019,Lagos,Município,Total,, euros,980.7
2019,Lajes das Flores,Município,Total,, euros,1029.0
2019,Lajes do Pico,Município,Total,, euros,844.2
2019,Lamego,Município,Total,, euros,929.8
2019,Leiria,Município,Total,, euros,1125.7
2019,Lisboa,Município,Total,, euros,1669.4
2019,Loulé,Município,Total,, euros,1049.6
2019,Loures,Município,Total,, euros,1218.6
2019,Lourinhã,Município,Total,, euros,964.9
2019,Lousã,Município,Total,, euros,1000.7
2019,Lousada,Município,Total,, euros,860.6
2019,Mação,Município,Total,, euros,912.5
2019,Macedo de Cavaleiros,Município,Total,, euros,892.9
2019,Machico,Município,Total,, euros,1063.9
2019,Madalena,Município,Total,, euros,953.0
2019,Mafra,Município,Total,, euros,1022.0
2019,Maia,Município,Total,, euros,1250.7
2019,Mangualde,Município,Total,, euros,1105.3
2019,Manteigas,Município,Total,, euros,852.8
2019,Marco de Canaveses,Município,Total,, euros,886.2
2019,Marinha Grande,Município,Total,, euros,1335.3
2019,Marvão,Município,Total,, euros,799.7
2019,Matosinhos,Município,Total,, euros,1337.7
2019,Mealhada,Município,Total,, euros,1106.8
2019,Mêda,Município,Total,, euros,888.7
2019,Melgaço,Município,Total,, euros,880.9
2019,Mértola,Município,Total,, euros,861.4
2019,Mesão Frio,Município,Total,, euros,886.0
2019,Mira,Município,Total,, euros,942.5
2019,Miranda do Corvo,Município,Total,, euros,881.4
2019,Miranda do Douro,Município,Total,, euros,880.4
2019,Mirandela,Município,Total,, euros,957.8
2019,Mogadouro,Município,Total,, euros,884.7
2019,Moimenta da Beira,Município,Total,, euros,836.0
2019,Moita,Município,Total,, euros,985.1
2019,Monção,Município,Total,, euros,891.6
2019,Monchique,Município,Total,, euros,887.9
2019,Mondim de Basto,Município,Total,, euros,799.7
2019,Monforte,Município,Total,, euros,1020.3
2019,Montalegre,Município,Total,, euros,874.5
2019,Montemor-o-Novo,Município,Total,, euros,973.6
2019,Montemor-o-Velho,Município,Total,, euros,968.7
2019,Montijo,Município,Total,, euros,1027.6
2019,Mora,Município,Total,, euros,981.3
2019,Mortágua,Município,Total,, euros,1037.8
2019,Moura,Município,Total,, euros,935.6
2019,Mourão,Município,Total,, euros,889.0
2019,Murça,Município,Total,, euros,894.5
2019,Murtosa,Município,Total,, euros,924.0
2019,Nazaré,Município,Total,, euros,917.6
2019,Nelas,Município,Total,, euros,1098.2
2019,Nisa,Município,Total,, euros,830.1
2019,Nordeste,Município,Total,, euros,860.8
