year,municipality,people/km2
2019,Santa Comba Dão,95.2
2019,Santa Cruz,514.8
2019,Santa Cruz da Graciosa,67.7
2019,Santa Cruz das Flores,28.5
2019,Santa Maria da Feira,633.2
2019,Santa Marta de Penaguião,89.0
2019,Santana,69.8
2019,Santarém,106.0
2019,Santiago do Cacém,26.3
2019,Santo Tirso,498.6
2019,São Brás de Alportel,72.4
2019,São João da Madeira,2800.6
2019,São João da Pesqueira,25.9
2019,São Pedro do Sul,43.5
2019,São Roque do Pico,22.6
2019,São Vicente,61.6
2019,Sardoal,38.5
2019,Sátão,54.6
2019,Seia,50.5
2019,Seixal,1721.3
2019,Sernancelhe,24.6
2019,Serpa,12.5
2019,Sertã,32.9
2019,Sesimbra,263.8
2019,Setúbal,536.6
2019,Sever do Vouga,86.0
2019,Silves,54.8
2019,Sines,69.9
2019,Sintra,1203.7
2019,Sobral de Monte Agraço,199.5
2019,Soure,65.3
2019,Sousel,15.7
2019,Tábua,55.8
2019,Tabuaço,37.3
2019,Tarouca,73.1
2019,Tavira,45.1
2019,Terras de Bouro,23.1
2019,Tomar,104.4
2019,Tondela,70.2
2019,Torre de Moncorvo,13.1
2019,Torres Novas,127.0
2019,Torres Vedras,201.1
2019,Trancoso,23.5
2019,Trofa,535.4
2019,Vagos,138.2
2019,Vale de Cambra,144.7
2019,Valença,116.0
2019,Valongo,1256.9
2019,Valpaços,27.1
2019,Velas,42.4
2019,Vendas Novas,50.4
2019,Viana do Alentejo,13.7
2019,Viana do Castelo,269.0
2019,Vidigueira,16.6
2019,Vieira do Minho,55.7
2019,Vila da Praia da Vitória,121.1
2019,Vila de Rei,16.9
2019,Vila do Bispo,31.2
2019,Vila do Conde,541.5
2019,Vila do Porto,55.5
2019,Vila Flor,23.0
2019,Vila Franca de Xira,433.1
2019,Vila Franca do Campo,133.0
2019,Vila Nova da Barquinha,140.2
2019,Vila Nova de Cerveira,82.1
2019,Vila Nova de Famalicão,660.7
2019,Vila Nova de Foz Côa,16.0
2019,Vila Nova de Gaia,1808.5
2019,Vila Nova de Paiva,26.6
2019,Vila Nova de Poiares,80.7
2019,Vila Pouca de Aguiar,27.2
2019,Vila Real,131.7
2019,Vila Real de Santo António,308.7
2019,Vila Velha de Ródão,9.8
2019,Vila Verde,201.2
2019,Vila Viçosa,38.3
2019,Vimioso,8.8
2019,Vinhais,11.3
2019,Viseu,196.5
2019,Vizela,960.9
2019,Vouzela,49.1
2020,Abrantes,48.4
2020,Águeda,138.2
2020,Aguiar da Beira,25.9
2020,Alandroal,9.3
2020,Albergaria-a-Velha,157.4
2020,Albufeira,315.5
2020,Alcácer do Sal,7.5
2020,Alcanena,98.7
2020,Alcobaça,135.5
2020,Alcochete,150.2
2020,Alcoutim,4.4
2020,Alenquer,146.9
2020,Alfândega da Fé,13.5
2020,Alijó,35.4
2020,Aljezur,18.9
2020,Aljustrel,19.4
2020,Almada,2544.1
2020,Almeida,11.3
2020,Almeirim,99.7
2020,Almodôvar,8.7
2020,Alpiarça,73.2
2020,Alter do Chão,8.5
2020,Alvaiázere,39.2
2020,Alvito,8.6
2020,Amadora,7242.3
2020,Amarante,173.7
2020,Amares,227.7
2020,Anadia,127.8
2020,Angra do Heroísmo,142.0
2020,Ansião,66.7
2020,Arcos de Valdevez,46.5
2020,Arganil,33.6
2020,Armamar,49.0
2020,Arouca,64.5
2020,Arraiolos,9.7
2020,Arronches,9.0
2020,Arruda dos Vinhos,180.6
2020,Aveiro,411.6
2020,Avis,6.3
2020,Azambuja,82.0
2020,Baião,101.2
2020,Barcelos,309.4
2020,Barrancos,9.1
2020,Barreiro,2165.9
2020,Batalha,150.9
2020,Beja,29.3
2020,Belmonte,52.0
2020,Benavente,57.3
2020,Bombarral,140.7
2020,Borba,44.7
2020,Boticas,15.6
2020,Braga,1057.3
2020,Bragança,29.6
2020,Cabeceiras de Basto,64.7
2020,Cadaval,77.2
2020,Caldas da Rainha,200.4
2020,Calheta [R.A.A.],27.6
2020,Calheta [R.A.M.],98.5
2020,Câmara de Lobos,619.3
2020,Caminha,116.3
2020,Campo Maior,32.8
2020,Cantanhede,88.1
2020,Carrazeda de Ansiães,19.8
2020,Carregal do Sal,77.8
2020,Cartaxo,147.4
2020,Cascais,2207.9
2020,Castanheira de Pêra,40.3
2020,Castelo Branco,36.6
2020,Castelo de Paiva,135.6
2020,Castelo de Vide,12.1
2020,Castro Daire,36.4
2020,Castro Marim,21.6
2020,Castro Verde,12.1
2020,Celorico da Beira,26.8
2020,Celorico de Basto,98.1
2020,Chamusca,11.5
2020,Chaves,63.8
2020,Cinfães,74.5
2020,Coimbra,443.2
2020,Condeixa-a-Nova,121.3
2020,Constância,47.1
2020,Coruche,15.7
2020,Corvo,22.7
2020,Covilhã,84.1
2020,Crato,8.2
2020,Cuba,25.6
2020,Elvas,33.1
2020,Entroncamento,1474.1
2020,Espinho,1480.3
2020,Esposende,370.0
2020,Estarreja,243.9
2020,Estremoz,24.8
2020,Évora,41.2
2020,Fafe,222.2
2020,Faro,335.6
2020,Felgueiras,484.2
2020,Ferreira do Alentejo,11.9
2020,Ferreira do Zêzere,41.1
2020,Figueira da Foz,156.5
2020,Figueira de Castelo Rodrigo,10.2
2020,Figueiró dos Vinhos,30.6
2020,Fornos de Algodres,33.9
2020,Freixo de Espada à Cinta,13.5
2020,Fronteira,11.8
2020,Funchal,1394.7
2020,Fundão,38.1
2020,Gavião,11.5
2020,Góis,14.5
2020,Golegã,63.7
2020,Gondomar,1250.3
2020,Gouveia,40.9
2020,Grândola,16.9
2020,Guarda,56.6
2020,Guimarães,652.8
2020,Horta,83.3
2020,Idanha-a-Nova,6.0
2020,Ílhavo,536.5
2020,Lagoa,270.0
2020,Lagoa [R.A.A.],312.9
2020,Lagos,158.1
2020,Lajes das Flores,20.2
2020,Lajes do Pico,28.1
2020,Lamego,147.7
2020,Leiria,228.4
2020,Lisboa,5486.0
2020,Loulé,95.2
2020,Loures,1211.5
2020,Lourinhã,179.3
2020,Lousã,123.3
2020,Lousada,494.7
2020,Mação,16.0
2020,Macedo de Cavaleiros,20.4
2020,Machico,288.6
2020,Madalena,43.2
