municipality,quarter_year,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm
Alandroal,1Q 2023,746.9824638888889,8.299805154320987,9.913333333333334,90.8,1.008888888888889
Alandroal,1Q 2024,648.4055361111111,7.125335561660562,11.150549450549452,273.0,3.0
Alandroal,1Q 2025,636.141175,7.068235277777777,10.647777777777778,336.8,3.7422222222222223
Alandroal,2Q 2020,977.7098277777777,10.74406404151404,9.403296703296704,142.5,1.565934065934066
Alandroal,2Q 2021,1046.2026472222221,11.496732387057387,9.209890109890111,139.9,1.5373626373626375
Alandroal,2Q 2022,1032.9244083333333,11.350817673992674,10.905494505494506,66.9,0.7351648351648352
Alandroal,2Q 2023,1063.5977472222223,11.687887332112334,9.636263736263736,48.6,0.5340659340659341
Alandroal,2Q 2024,1030.4156444444445,11.32324884004884,9.659340659340659,74.1,0.8142857142857142
Alandroal,3Q 2020,1109.0422583333334,12.054807155797102,9.004347826086956,24.2,0.26304347826086955
Alandroal,3Q 2021,1092.0825055555556,11.870462016908213,9.592391304347826,63.4,0.6891304347826087
Alandroal,3Q 2022,1091.876375,11.868221467391304,9.01304347826087,38.0,0.41304347826086957
Alandroal,3Q 2023,1087.6251694444445,11.822012711352658,9.488043478260868,69.5,0.7554347826086957
Alandroal,3Q 2024,1103.809186111111,11.997925935990338,9.444565217391304,9.2,0.09999999999999999
Alandroal,4Q 2019,614.2313583333333,6.676427807971015,11.298913043478262,218.6,2.376086956521739
Alandroal,4Q 2020,645.7784138888888,7.019330585748792,9.744565217391305,294.8,3.2043478260869565
Alandroal,4Q 2021,714.3894388888889,7.765102596618357,9.910869565217391,120.8,1.3130434782608695
Alandroal,4Q 2022,579.3072027777778,6.296817421497584,9.925,278.7,3.029347826086956
Alandroal,4Q 2023,610.2596694444444,6.633257276570048,9.366304347826087,191.7,2.0836956521739127
Alandroal,4Q 2024,674.9761388888888,7.336697161835748,9.689130434782609,165.1,1.7945652173913043
Albergaria-a-Velha,1Q 2020,654.7555777777777,7.1951162393162384,11.147252747252747,394.4,4.334065934065934
Albergaria-a-Velha,1Q 2021,651.6768388888889,7.2408537654320995,11.99888888888889,602.5,6.694444444444445
Albergaria-a-Velha,1Q 2022,696.3769694444444,7.737521882716049,11.904444444444445,204.9,2.276666666666667
Albergaria-a-Velha,1Q 2023,696.059,7.733988888888889,12.106666666666666,404.4,4.493333333333333
Albergaria-a-Velha,1Q 2024,607.7087527777778,6.6781181623931625,11.71868131868132,976.1999999999999,10.727472527472527
Albergaria-a-Velha,1Q 2025,594.6683194444445,6.607425771604938,11.575555555555555,757.1,8.412222222222223
Albergaria-a-Velha,2Q 2020,985.2498416666666,10.826921336996337,10.076923076923077,364.3,4.003296703296703
Albergaria-a-Velha,2Q 2021,1013.5473611111111,11.137883089133089,9.781318681318682,316.6,3.479120879120879
Albergaria-a-Velha,2Q 2022,1001.4396138888889,11.004830921855921,10.68021978021978,296.3,3.256043956043956
Albergaria-a-Velha,2Q 2023,1024.7417805555556,11.260898687423687,10.213186813186812,342.8,3.767032967032967
Albergaria-a-Velha,2Q 2024,987.602725,10.852777197802197,10.90879120879121,315.5,3.467032967032967
Albergaria-a-Velha,3Q 2020,1076.316525,11.699092663043478,9.727173913043478,94.9,1.0315217391304348
