Cluster ID,Cluster,Model,Feature,Importance
1,Suburbs,gbm,courthouse,0.027086985833466096
1,Suburbs,gbm,fire_station,0.03833376671226127
1,Suburbs,gbm,hospital,0.0008112915869382534
1,Suburbs,gbm,kindergarten,0.029630468699038112
1,Suburbs,gbm,library,0.02882457899153613
1,Suburbs,gbm,mall,0.0012307641417016913
1,Suburbs,gbm,museum,0.0283340537320898
1,Suburbs,gbm,pharmacy,0.010871067704365932
1,Suburbs,gbm,police,0.0356506301007971
1,Suburbs,gbm,post_office,0.01561656868506408
1,Suburbs,gbm,school,0.015493976246028116
1,Suburbs,gbm,station,0.015905149637528614
1,Suburbs,gbm,theatre,0.0014848790442735973
1,Suburbs,gbm,university,0.0036875161325066724
1,Suburbs,gbm,avg_income,0.06702354527499102
1,Suburbs,gbm,people/km2,0.11262511552779329
1,Suburbs,gbm,< 5,0.009996453371694747
1,Suburbs,gbm,6 - 19,0.05519255244044806
1,Suburbs,gbm,20 - 34,0.06850583175760157
1,Suburbs,gbm,35 - 54,0.04350510675890396
1,Suburbs,gbm,55 - 64,0.01797074980751694
1,Suburbs,gbm,> 65,0.23349627408026621
1,Suburbs,gbm,cluster_urban,0.0
4,Urban,elasticnet,total_sunshine_h,0.0
4,Urban,elasticnet,mean_sunshine_h,0.0
4,Urban,elasticnet,windspeed_mean_kmh,0.052862973143724575
4,Urban,elasticnet,total_precipitation_mm,0.0
4,Urban,elasticnet,mean_precipitation_mm,0.0
4,Urban,elasticnet,windy_days,0.0
4,Urban,elasticnet,rainy_days,0.0
4,Urban,elasticnet,sunny_days,0.0
4,Urban,elasticnet,warm_days,0.0
4,Urban,elasticnet,cinema,0.09173006122559432
4,Urban,elasticnet,college,0.0
4,Urban,elasticnet,courthouse,0.0
4,Urban,elasticnet,fire_station,0.005110809156240623
4,Urban,elasticnet,hospital,0.0
4,Urban,elasticnet,kindergarten,0.0
4,Urban,elasticnet,library,0.0
4,Urban,elasticnet,mall,0.045482365842301795
4,Urban,elasticnet,museum,0.0
4,Urban,elasticnet,pharmacy,0.0
4,Urban,elasticnet,police,0.0
4,Urban,elasticnet,post_office,0.0
4,Urban,elasticnet,school,0.0
4,Urban,elasticnet,station,0.0
4,Urban,elasticnet,theatre,0.0
4,Urban,elasticnet,university,0.0
4,Urban,elasticnet,avg_income,0.0702658524670266
4,Urban,elasticnet,people/km2,0.0
4,Urban,elasticnet,< 5,0.00047208073691007766
4,Urban,elasticnet,6 - 19,8.901278714478713e-05
4,Urban,elasticnet,20 - 34,0.00011027535406996845
4,Urban,elasticnet,35 - 54,5.398742092505054e-05
4,Urban,elasticnet,55 - 64,4.273968287640417e-05
4,Urban,elasticnet,> 65,3.7963475020436264e-05
4,Urban,elasticnet,cluster_urban,0.0
4,Urban,gbm,total_sunshine_h,0.007241667752898096
4,Urban,gbm,mean_sunshine_h,0.0029215033647762728
4,Urban,gbm,windspeed_mean_kmh,0.03792447467862127
4,Urban,gbm,total_precipitation_mm,0.0018958220898382552
4,Urban,gbm,mean_precipitation_mm,0.005137830775790648
4,Urban,gbm,windy_days,0.0009230364750317006
4,Urban,gbm,rainy_days,0.002994449544456777
4,Urban,gbm,sunny_days,0.0031877949176413248
4,Urban,gbm,warm_days,0.0028046547535447025
4,Urban,gbm,cinema,0.008879650110133024
4,Urban,gbm,college,0.0013635345755061534
4,Urban,gbm,courthouse,0.004644306998902375
4,Urban,gbm,fire_station,0.01878801732677117
4,Urban,gbm,hospital,0.016065154793893834
4,Urban,gbm,kindergarten,0.03247048960163233
4,Urban,gbm,library,0.01506146258255777
4,Urban,gbm,mall,0.0427044072373269
4,Urban,gbm,museum,0.012842003299144283
4,Urban,gbm,pharmacy,0.030273044637891336
4,Urban,gbm,police,0.023069184310242356
4,Urban,gbm,post_office,0.039549221496363474
4,Urban,gbm,school,0.05960826798234306
4,Urban,gbm,station,0.04778117653880431
4,Urban,gbm,theatre,0.009852729571260523
4,Urban,gbm,university,0.0091006259114594
4,Urban,gbm,avg_income,0.05225123590002393
4,Urban,gbm,people/km2,0.12575885980651588
4,Urban,gbm,< 5,0.08397783778506293
4,Urban,gbm,6 - 19,0.07824706540860558
4,Urban,gbm,20 - 34,0.08145093001365579
4,Urban,gbm,35 - 54,0.04365420418027759
4,Urban,gbm,55 - 64,0.02227026902989672
4,Urban,gbm,> 65,0.07530508654913033
4,Urban,gbm,cluster_urban,0.0
