Feature,linear,ridge,lasso,elasticnet,gbm
total_sunshine_h_scaled,-0.2107110066794027,-0.202192308156947,0.0,0.0,0.009859327846000968
mean_sunshine_h_scaled,-0.03984188433848345,-0.04541940847423204,0.0,0.0,0.006358049113105165
windspeed_mean_kmh_scaled,0.15308828907517935,0.15293956676107245,0.019857740580063413,0.05506088225267854,0.027689482391643667
total_precipitation_mm_scaled,0.3049969633760519,0.24645144114403766,0.0,0.0,0.0036689050556253295
mean_precipitation_mm_scaled,-0.2544120053918324,-0.19639057711876354,0.0,0.0,0.0036736782257877645
windy_days_scaled,-0.08308964325763038,-0.08309890961689875,0.0,0.0,0.01064462739405848
rainy_days_scaled,0.017757849277932586,0.018304497784411147,0.0,0.0,0.006422950855344595
sunny_days_scaled,0.3212055951302102,0.31891054094409765,0.0,0.018369631730099062,0.002645925324684148
warm_days_scaled,0.08100302366356456,0.0810074579562863,0.02724081366168174,0.058526856292384334,0.021664550310881353
cinema_scaled,0.03510583083491837,0.03510198914900405,0.0,0.0,0.00786890229526799
college_scaled,-0.004769640973367581,-0.004763453542468088,0.0,0.0,0.0001669965422515117
courthouse_scaled,-0.02607282887774236,-0.02588290984770341,0.0,0.0,0.01572630248335668
fire_station_scaled,-0.1898230026894779,-0.18902014417721355,0.0,0.0,0.011186045829958954
hospital_scaled,0.021324617092296556,0.02118176728853014,0.0,0.0,0.004604900623827632
kindergarten_scaled,0.16692686197323406,0.1659255028288562,0.0,0.0,0.05561998050618614
library_scaled,0.10988249089146436,0.10869637900123691,0.0,0.0,0.009738606236323695
mall_scaled,-0.03536032951132547,-0.034945130092926165,0.0,0.0,0.040140001631502026
museum_scaled,-0.06753971594592088,-0.06742488894251582,0.0,0.0,0.009598652370550461
pharmacy_scaled,0.058338779496523815,0.058730372751493544,0.0,0.0,0.02604653535296037
police_scaled,0.08398933508493708,0.08355540561157679,0.0,0.0,0.011886413937113016
post_office_scaled,0.13441983276080646,0.13403954169177315,0.0,0.0,0.047070492260511486
school_scaled,0.09408413678407707,0.09399766005424746,0.0,0.0,0.02875560230127831
station_scaled,-0.048685600814407155,-0.04841399694958299,0.0,0.0,0.029743305567616538
theatre_scaled,-0.1420576032216509,-0.14126491757573398,0.0,0.0,0.009840667204800048
university_scaled,-0.033150246911892674,-0.033176893311304315,0.0,0.0,0.023811104366142775
avg_income_scaled,0.12233141693187216,0.1222764169800954,0.015840608683235526,0.06463463675558768,0.035996945894807134
people/km2_scaled,0.08620920824490215,0.085958488554159,0.0,0.0,0.10746675335738903
< 5,-0.0002221779058802546,-0.0002213394343422951,-5.280888974183045e-05,-7.357940839309272e-05,0.1304632739849352
6 - 19,4.2976078862093976e-05,4.2853298540438706e-05,3.4476890495746986e-05,3.034820683963628e-05,0.08451251943206865
20 - 34,-4.547517834427974e-05,-4.555132765037053e-05,-8.086883314784338e-05,-7.108168707393253e-05,0.049913091151909714
35 - 54,4.029457403373683e-05,4.033227962102372e-05,5.867601364412287e-05,5.2907512178983666e-05,0.06936281410303945
55 - 64,9.611920207090543e-06,9.418078182263012e-06,-3.3352307945704915e-05,-2.0532738750611638e-05,0.022322597055702467
> 65,-5.408366984658391e-06,-5.3271358436202855e-06,1.877683450688037e-05,1.5600164081864035e-05,0.07552999899336937
