Model,Test R²,Test R² (std),Test RMSE,Test MAE,Train R²,Overfit Gap
gbm,0.6323140491981205,0.07952294044267409,0.3371947686731837,0.25746094189754815,0.9578752475173719,0.32556119831925134
elasticnet,0.34502719397522114,0.10388762377781738,0.4523354723755041,0.3381100668059081,0.4569032435150985,0.11187604953987734
ridge,0.32015256104074,0.13896065693739704,0.4589594781169658,0.34462542475889707,0.5632499707921281,0.2430974097513881
lasso,0.273295132119746,0.1252107810742262,0.47629163610486264,0.35616998752759693,0.3884347357566934,0.11513960363694742
linear,0.07133005831519042,0.43871809796573374,0.5244972092478051,0.37044467889104266,0.5634435277394622,0.49211346942427175
